primaryName,birthYear,deathYear,primaryProfession,knownForTitles,average_popularity,nconst,aggregated_genres
Graham Greene,1952,NA,"actor,writer,miscellaneous","tt5362988,tt0110478,tt0099348,tt0120689",6.137178088905106,nm0001295,"Adventure,Drama,Western, Comedy, Adventure,Comedy,Drama, Comedy,Drama, Mystery, Horror,Thriller, Action,Adventure,Comedy, Adventure,Horror,Thriller, Crime,Drama, Crime,Drama,Mystery, Drama,Horror,Mystery, Action,Drama,Thriller, Crime,Drama,Fantasy, Drama,Family,Fantasy, Biography,Drama,Family, Adventure, Drama,Romance, Crime,Mystery,Thriller, Documentary,History,News, Drama,Family, Crime,Drama,Horror, Adventure,Drama, Biography,Drama,History, Fantasy, Action,Crime,Drama, Drama, Action,Adventure,Thriller, Mystery,Thriller, Drama,Thriller,Western, Adventure,Drama,Family"
Bob Hoskins,1942,2014,"actor,soundtrack,director","tt0108255,tt0081070,tt0091538,tt0096438",5.691598079423631,nm0001364,"Crime,Musical, Adventure,Comedy,Family, Comedy, Drama,Romance,War, Action,Comedy, Adventure,Comedy,Drama, Comedy,Drama, Documentary, Comedy,Drama,Fantasy, Comedy,Crime,Drama, Adventure,Animation,Comedy, Crime,Drama,Mystery, Action,Crime,Thriller, Comedy,Crime,Romance, Comedy,Drama,History, Comedy,Family,Fantasy, Adventure,Animation,Drama, Drama,Romance,Thriller, Drama,Romance, Crime,Drama,Romance, Action,Drama, Action,Crime,Drama, Action,Sci-Fi,Thriller, Biography,Drama,Music, Drama, Comedy,Drama,Music, Biography,Drama, Biography,Crime,Drama, Comedy,Drama,Romance, Adventure,Drama,Family, Drama,Thriller"
Ice-T,1958,NA,"actor,producer,soundtrack","tt0102526,tt0114614,tt0111323,tt0113481",5.2892179376912205,nm0001384,"Thriller, Action,Thriller, Action, Crime,Drama,Thriller, Crime, Action,Comedy,Sci-Fi, Action,Drama,Sci-Fi, Action,Drama, Documentary, Action,Comedy,Romance, Action,Crime,Drama, Crime,Drama, Action,Adventure,Crime, Drama, Action,Drama,Thriller, Action,Crime,Thriller, Action,Crime, Crime,Drama,Music, Action,Crime,Horror, Drama,Thriller"
Kevin Pollak,1957,NA,"actor,producer,writer","tt0104257,tt0327247,tt0146675,tt0114814",5.159440958201129,nm0001629,"Thriller, Comedy, Drama,Sport, Action,Comedy, Horror, Action,Fantasy,Horror, Biography,Drama,Romance, Comedy,Drama, Crime,Drama,Romance, Drama,Mystery,Thriller, Comedy,Mystery, Comedy,Crime,Drama, Drama,Family,Music, Crime,Drama,Horror, Crime,Drama,Mystery, Action,Crime,Drama, Crime,Drama, Comedy,Romance, Drama, Action,Comedy,Crime, Drama,Music, Biography,Drama,Sport, Comedy,Drama,Romance, Comedy,Family, Family, Drama,Thriller"
Robert Vaughn,1932,2016,"actor,director","tt0062765,tt0086393,tt0072308,tt0054047",5.147141844649658,nm0001816,"Thriller, Comedy,Fantasy,Horror, Action,Thriller, Action,Drama,War, Comedy, Horror,Mystery, Comedy,Drama,Sport, Sci-Fi,Thriller, Comedy,Crime, Comedy,Drama, Western, Horror,Thriller, Action,Adventure,Comedy, Crime,Thriller, Action,Adventure,Crime, Action,Adventure,Drama, Action,Crime,Thriller, Horror,Mystery,Thriller, Action,Drama, Drama,Western, Horror,Sci-Fi, Comedy,Romance, Action,Sci-Fi,Thriller, Action,Adventure,Sci-Fi, Drama, Action,Adventure,Thriller, Biography,Drama, Adventure,Family,Fantasy, Adventure,Sci-Fi, Drama,Sci-Fi, Action,History,War, Adventure,Crime, Sci-Fi"
Alexander Skarsgård,1976,NA,"actor,producer,director","tt0918940,tt7598448,tt3920596,tt0844441",5.4665665475066785,nm0002907,"Thriller, Comedy, Mystery,Sci-Fi,Thriller, Drama,Romance, Comedy,Drama, Drama,Mystery,Thriller, Drama,Family, Horror,Sci-Fi,Thriller, Biography,Drama,History, Crime,Drama,Sport, Adventure,Crime,Drama, Crime,Drama, Action,Sci-Fi,Thriller, Action,Adventure,Sci-Fi, Action,Adventure,Drama, Drama, Action,Comedy,Crime, Action,Crime,Drama, Action,Biography,Drama, Drama,Sci-Fi, Action,Drama,Thriller, Comedy,Drama,Romance, Drama,Thriller, Adventure,Animation,Family, Crime,Horror,Mystery"
Patrick Muldoon,1968,NA,"actor,producer,soundtrack","tt0103491,tt0120201,tt11196036,tt9139586",4.549497765877058,nm0005258,"Thriller, Action,Thriller, Comedy, Horror, Action,Comedy, Drama,Mystery,Thriller, Horror,Mystery,Sci-Fi, Horror,Thriller, Action,Adventure,Comedy, Comedy,Drama,Family, Action,Adventure,Drama, Action,Crime,Mystery, Adventure,Family, Action,Drama,Thriller, Action,Crime,Thriller, Action,Mystery,Thriller, Action,Horror,Sci-Fi, Action,Comedy,Family, Horror,Mystery,Thriller, Crime,Mystery,Thriller, Action,Crime,Drama, Comedy,Romance, Drama, Action,Adventure,Thriller, Adventure,Family,Fantasy, Comedy,Drama,Romance, Family, Comedy,Family, Drama,Thriller, Family,Sci-Fi"
Ryan Reynolds,1976,NA,"actor,producer,writer","tt1431045,tt5463162,tt1462758,tt1041829",5.913677551244362,nm0005351,"Action,Thriller, Comedy,Crime,Horror, Comedy, Horror, Action,Comedy, Action,Sci-Fi, Adventure,Biography,Documentary, Comedy,Drama, Drama,Mystery,Thriller, Horror,Sci-Fi,Thriller, Action,Adventure,Comedy, Comedy,Drama,Family, Adventure,Animation,Comedy, Crime,Drama,Mystery, Action,Comedy,Thriller, Action,Mystery,Sci-Fi, Action,Horror,Sci-Fi, Drama,Fantasy,Mystery, Action,Adventure,Animation, Comedy,Family,Musical, Biography,Drama,History, Comedy,Romance, Action,Sci-Fi,Thriller, Action,Adventure,Sci-Fi, Drama, Action,Comedy,Crime, Comedy,Fantasy, Comedy,Drama,Romance, Drama,Thriller"
Scott Adkins,1976,NA,"actor,producer,stunts","tt10366206,tt3344680,tt13314558,tt8836988",5.074404676491337,nm0012078,"Action,Thriller, Action,Comedy,Sci-Fi, Action,Horror,Sci-Fi, Action,Comedy, Action,Drama, Documentary, Horror,Thriller, Action,Crime,History, Action,Horror, Action,Adventure,Comedy, Action,Horror,Mystery, Action,Crime,Drama, Action,Sci-Fi,Thriller, Action,Adventure,Sci-Fi, Action,Comedy,Crime, Action,Adventure,Fantasy, Action,Biography,Drama, Action,Crime,Thriller, Action,Crime, Action,Comedy,Drama"
Mircea Albulescu,1934,2016,actor,"tt0077120,tt0107505,tt0062814,tt0481797",6.152653684087179,nm0017062,"History,War, Action,Thriller, Action, Adventure, Crime, Comedy, Comedy,Romance,Sport, Adventure,Drama,War, Animation, Drama,History, Drama,Romance, Action,History, War, Comedy,Drama,Family, Crime,Drama, Action,Crime,Drama, Drama, Drama,War, Romance, Action,Adventure,History"
Ernesto Alterio,1970,NA,"actor,soundtrack","tt0301524,tt0212311,tt1726888,tt2419986",5.33731779056676,nm0022764,"Thriller, Action,Thriller, Crime,Drama,Thriller, Comedy, Comedy,Mystery,Thriller, Adventure,Comedy,Drama, Drama,Romance, Comedy,Drama, Crime,Drama,Mystery, Comedy,Romance, Drama, Biography,Drama, Adventure,Fantasy, Comedy,Musical,Romance, Comedy,Sport, Comedy,Drama,Musical, Comedy,Drama,Romance, Adventure,Comedy, Drama,Thriller"
Tobin Bell,1942,NA,"actor,producer,director","tt3275216,tt0387564,tt0095647,tt0106918",5.030680371371003,nm0068551,"Thriller, Action,Thriller, Crime,Drama,Thriller, Crime,Drama,History, Comedy, Horror, Horror,Mystery, Biography,Drama,Horror, Action,Sci-Fi, Sci-Fi,Thriller, Horror,Mystery,Thriller, Action,Drama,Sci-Fi, Biography,Drama,Romance, Crime,Mystery,Thriller, Horror,Sci-Fi, Horror,Thriller, Action,Horror, Crime,Drama, Adventure,Comedy,Crime, Drama, Drama,Horror,Mystery, Drama,Thriller"
Raoul Bova,1971,NA,"actor,producer,director","tt1866205,tt1630637,tt0370263,tt0328589",5.490486148279627,nm0100556,"Thriller, Action,Drama,War, Action, Adventure, Comedy, Drama,Fantasy, Sci-Fi,Thriller, Adventure,Drama,History, Comedy,Drama, Action,Drama, Drama,Romance, Action,Adventure,Horror, Comedy,Romance, Action,Crime,Drama, Crime,Drama, Mystery,Romance, Drama, Drama,War, Action,Comedy,Crime, Romance, Comedy,Fantasy, Action,Crime,Thriller, Comedy,Drama,Romance"
Petar Bozovic,1946,NA,"actor,director","tt0079985,tt0081580,tt0094242,tt14895146",6.288087597298927,nm0102522,"Comedy,Drama,War, Comedy, Horror, Drama,Horror, Drama,Fantasy, Comedy,Crime, Drama,Romance, Comedy,Drama, Documentary, Drama, Drama,War, Biography,Drama, Comedy,Fantasy, Comedy,Drama,History"
Robert Z'Dar,1950,2015,"actor,producer","tt0130236,tt0104808,tt0098439,tt1454705",4.6379270481246015,nm0120494,"Thriller, Action,Thriller, Action, Fantasy,Sci-Fi, Action,Comedy,Horror, Adventure, Action,Fantasy, Horror, Horror,Mystery, Action,Sci-Fi, Action,Adventure, Action,Horror, Adventure,Family,Western, Action,Crime,Drama, Crime,Drama,Mystery, Drama, Fantasy,Horror, Action,Drama,Thriller, Action,Crime, Action,Crime,Thriller, Comedy,Horror, Sci-Fi"
Gino Cervi,1901,1974,"actor,miscellaneous,composer","tt0034660,tt0030107,tt0043918,tt0037916",5.727241630102631,nm0148974,"Drama,Mystery,War, Biography,Drama,History, Adventure,Biography,Drama, Crime,Drama, Adventure, Comedy, Drama, Drama,War, Drama,History, Comedy,Drama, Comedy,Drama,Romance, Drama,Romance, Comedy,War"
Paul Chang Chung,1931,2010,"actor,director,writer","tt0165197,tt0358181,tt8074610,tt0089374",5.545212015125375,nm0151787,"Thriller, Action,Thriller, Action, Drama,Musical,Romance, Action,Adventure, Drama,Romance, Action,Drama, Mystery, Comedy,Drama, Action,Adventure,Romance, Drama,History,Musical, Action,Adventure,Drama, Drama, Romance, Adventure,Family, Action,Crime"
Devan,1952,NA,actor,"tt0352849,tt1039952,tt1311638,tt1602585",6.25070333761891,nm0222181,"Thriller, Action, Crime,Drama,Thriller, Crime, Comedy, Action,Drama,Mystery, Animation,Drama,Family, Comedy,Drama, Mystery, Crime,Thriller, Romance, Action,Crime,Mystery, Comedy,Musical,Romance, Comedy,Drama,Musical, Action,Comedy,Thriller, Action,Crime,Thriller, Action,Comedy,Drama, Adventure,Drama,Musical, Comedy,Drama,Horror, History, Drama,History, Crime,Mystery,Thriller, Action,Drama, Drama,Romance, Crime,Drama,Romance, Drama,Family, Action,Crime,Drama, Comedy,Romance, Action,Family,Thriller, Drama, Action,Crime, Family, Drama,Thriller, Drama,Musical, Adventure,Drama,Sci-Fi"
Colin Friels,1952,NA,actor,"tt0091464,tt0115417,tt14174940,tt0099365",5.665442090257356,nm0295506,"Thriller, Comedy, Drama,Sport, Action,Drama,Mystery, Drama,Romance, Comedy,Drama, Documentary, Action,Adventure,Animation, Comedy,Drama,Fantasy, Comedy,Crime,Sci-Fi, Comedy,Drama,Thriller, Crime,Drama,Mystery, Action,Sci-Fi,Thriller, Crime,Drama, Drama,Music, Drama, Comedy,Drama,Romance, Drama,Thriller"
Jake Gyllenhaal,1980,NA,"actor,producer,soundtrack","tt0246578,tt0388795,tt1392214,tt2872718",6.423114267879744,nm0350453,"Adventure,Comedy,Romance, Crime,Drama,Thriller, Action,Drama,Mystery, Drama,Mystery,Sci-Fi, Comedy,Drama, Drama,Mystery,Thriller, Horror,Sci-Fi,Thriller, Action,Adventure,Comedy, Crime,Drama,Mystery, Crime,Drama, Action,Adventure,Drama, Drama,Thriller,War, Drama,Mystery, Action,Drama,Thriller, Biography,Drama,Family, Horror,Mystery,Thriller, Drama,Romance, Action,Adventure,Animation, Drama,Western, Action,Crime,Drama, Action,Adventure,Sci-Fi, Biography,Drama,War, Drama, Biography,Drama, Action,Adventure,Fantasy, Comedy,Drama,Romance, Action,Drama,Sport, Drama,Thriller"
Yukijirô Hotaru,1951,NA,actor,"tt0111822,tt0113142,tt0103327,tt0142166",5.45539813106757,nm0396212,"Action, Crime,Drama,Thriller, Crime, Comedy, Action,Comedy,Sci-Fi, Action,Comedy, Horror, Drama,Horror,Thriller, Action,Sci-Fi, Sci-Fi,Thriller, Drama,Romance, Comedy,Sci-Fi, Comedy,Mystery, Comedy,Drama,Fantasy, Action,Drama,Fantasy, Action,Adventure,Comedy, Action,Fantasy,Sci-Fi, Fantasy, Comedy,Romance, Drama, Family, Comedy,Horror"
Raizô Ichikawa,1931,1969,actor,"tt0123188,tt0051584,tt0186867,tt0164882",5.830208297224391,nm0406737,"History,War, Action, Drama,Fantasy,History, Action,Drama,Mystery, Drama,History, Drama,Romance, Action,Drama, Mystery, Comedy,Drama, Drama,Fantasy,Horror, Action,Drama,History, Adventure,Drama, Action,Crime,Drama, Action,Adventure,Drama, Action,Mystery, Drama, Drama,War, Comedy,Musical, Fantasy,Horror, Action,Drama,Romance, Action,Crime, Action,Crime,Thriller"
Tony Kendall,1936,2009,actor,"tt0063193,tt0060600,tt0061878,tt0067310",5.095676855114631,nm0447652,"Action,Thriller, Adventure, Comedy, Horror, Action,Adventure, Adventure,Drama,History, Horror,Romance,Thriller, Drama,Romance, Western, Mystery, Horror,Romance, Drama,Western, Adventure,Crime,Fantasy, Horror,Thriller, Adventure,Comedy,Fantasy, Action,Adventure,Comedy, Action,Comedy,Romance, Crime,Drama, Action,Adventure,Crime, Action,Adventure,Drama, Drama, Action,Comedy,Crime, Drama,Horror,Mystery, Fantasy,Horror, Crime,Horror, Action,Crime, Adventure,Comedy"
Lee Byung-hun,1970,NA,"actor,director,writer","tt0260991,tt0901487,tt0456912,tt1588170",5.829869616084965,nm0496932,"Thriller, Drama,Mystery,Romance, Animation,Drama,Fantasy, Horror, Action,History,Thriller, Drama,History, Drama,Romance, Action,Drama,History, Action,Drama,Fantasy, Action,Adventure,Comedy, Drama,History,Thriller, Comedy,Drama,Family, Comedy,Romance, Action,Crime,Drama, Action,Adventure,Sci-Fi, Action,Adventure,Drama, Drama, Animation,Fantasy,Sci-Fi, Romance, Action,Drama,Thriller, Action,Crime,Thriller, Action,Crime"
Jean Lefebvre,1919,2004,actor,"tt0070356,tt0056017,tt0046911,tt0058135",5.2318546433203394,nm0498876,"Adventure, Comedy, Comedy,Crime, Comedy,Drama, Drama,Romance, Action,Comedy,War, Comedy,War, Crime,Drama, Comedy,Romance, Drama, Comedy,Fantasy, Action,Comedy,Thriller, Adventure,Comedy, Comedy,Crime,Mystery"
Michael Lerner,1941,2023,actor,"tt1877832,tt0101410,tt0319343,tt0120685",5.407933516458266,nm0503627,"Adventure,Comedy,Romance, Comedy,Drama,Mystery, Comedy, Horror, Comedy,Crime,Thriller, Drama,History, Adventure,Drama,Thriller, Comedy,Crime, Crime,Drama,Romance, Action,Drama, Documentary, Horror,Mystery,Sci-Fi, Horror,Thriller, Comedy,Drama,Thriller, Comedy,Drama,Family, Adventure,Crime,Drama, Comedy,Romance, Action,Crime,Drama, Drama, Biography,Drama, Comedy,Sport, Comedy,Drama,Romance, Action,Crime,Horror, Comedy,Horror"
Benoît Magimel,1974,NA,actor,"tt0337103,tt13702796,tt0254686,tt0118100",5.591674787892126,nm0536095,"Thriller, Action,Drama,War, Action,Thriller, History,War, Crime,Drama,Thriller, Comedy, Drama,Romance,War, Biography,Drama,Romance, Comedy,Drama, Drama,Mystery,Thriller, Comedy,Drama,Fantasy, Comedy,Crime,Drama, Crime,Thriller, Comedy,Drama,Family, Crime,Drama, Drama,History,Music, Action,Adventure,Drama, Drama,Mystery, Action,Crime,Mystery, Drama,History,Romance, Action,Drama,Thriller, Action,Crime,Thriller, Drama,Romance,Thriller, Drama,History, Crime,Drama,Romance, Drama,Romance, Drama,Music, Biography,Drama,War, Biography,Drama,Music, Drama, Drama,War, Biography,Drama, Mystery,Thriller, Drama,Sci-Fi, Drama,Thriller, Drama,History,War"
Nagesh,1933,2009,"actor,sound_department","tt0140412,tt0479651,tt0061842,tt0368233",6.438133789071026,nm0619309,"Action,Comedy,Fantasy, Action,Thriller, Comedy,Drama,Mystery, Action, Comedy, Action,Comedy, Action,Drama,Mystery, Comedy,Mystery,Thriller, Animation,Drama,Family, Comedy,Drama, Mystery, Musical,Romance, Action,Drama,Family, Action,Adventure,Comedy, Comedy,Drama,Family, Crime,Drama, Action,Romance, Romance, Drama,Mystery, Comedy,Drama,Musical, Action,Comedy,Drama, Musical, Drama,Romance,Thriller, Action,Adventure, Drama,Romance, Action,Drama, Drama,Fantasy,Mystery, Drama,Family, Comedy,Romance, Action,Crime,Drama, Drama, Biography,Drama, Action,Crime, Comedy,Drama,Romance, Family"
Frédéric Pierrot,1960,NA,"actor,camera_department","tt0308595,tt4246758,tt1661420,tt2752200",5.681699367758687,nm0682692,"History, Adventure, Comedy, Drama,Fantasy, Comedy,Drama, Drama,Romance, Fantasy, Drama, Drama,War, Drama,Horror,Mystery, Drama,History,Romance, Drama,Thriller, Biography,Comedy,Family, Drama,History,War"
Prabhu,1956,NA,"actor,producer,music_department","tt1355546,tt0306645,tt7238390,tt10701074",6.013104968771278,nm0694893,"Thriller, Action,Thriller, Drama,Mystery,Romance, Crime,Drama,Thriller, Action, Comedy, Horror, Action,Comedy, Action,Drama,Mystery, Action,Romance,Thriller, Comedy,Drama, Musical,Romance, Action,Comedy,Romance, Action,Adventure,Crime, Romance, Action,Drama,Romance, Action,Horror,Thriller, Action,Crime,Thriller, Action,Comedy,Drama, Musical, Drama,Romance, Action,Drama, Action,Drama,History, Comedy,Thriller, Action,Crime,Drama, Comedy,Romance, Drama, Action,Adventure,Fantasy, Action,Crime, Comedy,Drama,Romance, Family"
Narendra Prasad,1945,2003,"actor,writer,miscellaneous","tt0248926,tt0288153,tt0273115,tt0235403",5.643017306941125,nm0695266,"Comedy, Action,Comedy, Comedy,Drama, Action,Drama, Drama,Mystery,Thriller, Comedy,Mystery, Drama,Romance, Mystery, Action,Crime,Drama, Comedy,Romance, Drama, Comedy,Drama,Musical, Action,Crime,Thriller, Comedy,Drama,Romance, Family, Action,Comedy,Drama"
Sol Kyung-gu,1968,NA,actor,"tt0320193,tt5729348,tt0306909,tt0247613",6.0368609277278695,nm0812555,"Action,Thriller, Action,Comedy, Sci-Fi,Thriller, Drama,Romance, Action,Drama, Documentary, Comedy,Drama, Action,Crime,History, Biography,Drama,History, Crime,Thriller, Action,Comedy,Romance, Action,Adventure,Romance, Action,Crime,Drama, Crime,Drama,Mystery, Action,Adventure,Drama, Drama, Action,Comedy,Crime, Drama,Mystery, Biography,Drama,Sport, Romance, Action,Crime,Mystery, Action,Drama,Thriller, Action,Crime,Thriller, Comedy,Drama,Romance, Action,Comedy,Drama, Drama,Thriller"
Kemal Sunal,1944,2000,"actor,writer,producer","tt0253614,tt0253828,tt0252591,tt0253997",6.8298385261019545,nm0839017,"Comedy,Drama,History, Comedy, Adventure,Comedy,Drama, Comedy,Crime, Comedy,Drama, Comedy,Crime,Drama, Action,Comedy,Romance, Comedy,Romance, Adventure,Comedy,Crime, Comedy,Romance,Sci-Fi, Drama, Comedy,Family,Romance, Comedy,Family,Mystery, Comedy,Drama,Romance, Adventure,Comedy, Comedy,Crime,Mystery"
Nubar Terziyan,1909,1994,"actor,assistant_director","tt0278527,tt2246789,tt0182792,tt6551370",5.267559000756263,nm0856194,"Adventure, Comedy, Drama,Romance,War, Action,Sci-Fi, Drama,Romance, Crime,Drama,Romance, Action,Adventure,Comedy, Adventure,Romance, Adventure,Crime,Drama, Action,Crime,Drama, Crime,Drama, Action,Adventure,Crime, Fantasy, Drama, Drama,War, Romance, Adventure,Thriller, Comedy,Drama,Romance, Adventure,Crime, Adventure,Drama,Romance"
