primaryName,birthYear,deathYear,primaryProfession,knownForTitles,average_popularity,nconst,aggregated_genres
Donatella Finocchiaro,1970,NA,"actress,director,writer","tt1859650,tt1071214,tt0433624,tt0287914",5.568211348456861,nm1006993,"Drama,Mystery,Romance, Action, Comedy, Comedy,Crime, Action,Documentary,Drama, Documentary,Drama, Crime,Drama,Romance, Comedy,Drama, Drama,Romance,Sport, Comedy,Romance, Crime,Drama, Biography,Drama,Music, Drama, Biography,Drama, Adventure,Drama,Family"
Farha Naaz,1968,NA,"actress,director","tt0092888,tt0173301,tt0243355,tt1297447",4.885046487292065,nm2226774,"Action,Thriller, Crime, Horror,Mystery,Thriller, Drama,Romance, Action,Drama, Crime,Mystery,Thriller, Comedy,Drama, Action,Drama,Family, Action,Crime,Drama, Action,Adventure,Drama, Drama, Action,Adventure,Thriller, Drama,Mystery, Action,Crime, Family, Action,Comedy,Drama, Action,Mystery,Thriller"
Bette Davis,1908,1989,"actress,soundtrack,make_up_department","tt0056687,tt0042192,tt0035140,tt0031210",6.117655769518475,nm0000012,"Crime,Drama,Thriller, Crime,Mystery,Romance, Comedy, Adventure,Crime,Thriller, Drama,Horror,Thriller, Crime,Drama,Film-Noir, Crime,Mystery,Thriller, Comedy,Drama, Drama,Romance, Family,Horror,Mystery, Drama,Film-Noir, Comedy,Drama,Thriller, Biography,Drama,History, Crime,Drama,Mystery, Drama, Mystery,Thriller, Biography,Drama, Drama,Horror,Mystery, Comedy,Fantasy, Adventure,Family,Fantasy, Comedy,Drama,Romance"
Linda Blair,1959,NA,"actress,soundtrack,producer","tt0088044,tt0076009,tt0070047,tt0089964",5.453745449278252,nm0000304,"Thriller, Comedy,Fantasy,Horror, Action, Crime,Drama,Thriller, Fantasy,Horror,Thriller, Comedy, Horror, Comedy,Music, Drama,Horror,Thriller, Crime,Family,Fantasy, Comedy,Crime, Drama,Romance, Documentary, Action,Drama,History, Horror,Thriller, Crime,Thriller, Action,Crime,Drama, Drama, Comedy,Drama,Music, Mystery,Thriller, Action,Drama,Thriller, Family,Fantasy,Sci-Fi, Drama,Thriller, Adventure,Drama,Family"
Lolita Davidovich,1961,NA,actress,"tt0092513,tt0096943,tt0110146,tt0329717",5.324222963210348,nm0000357,"Thriller, Biography,Comedy,Drama, Comedy,Drama,Sport, Drama,Romance, Comedy,Drama, Comedy,Drama,Fantasy, Comedy,Crime,Drama, Drama,Family, Crime,Drama,Horror, Crime,Drama, Action,Crime,Drama, Drama, Biography,Drama,Sport, Biography,Drama, Biography,Crime,Drama, Animation,Comedy, Comedy,Drama,Romance, Comedy,Family, Action,Comedy,Drama, Drama,Thriller, Musical"
Ariane Ascaride,1954,NA,"actress,director,writer","tt0119620,tt0234988,tt0491901,tt9584814",5.591093796283841,nm0038449,"Crime,Drama,Thriller, Comedy,Romance, Comedy, Drama, Animation, Comedy,Drama,Sport, Comedy,Drama, Drama,Romance, Comedy,Drama,Romance"
Barbara Auer,1959,NA,actress,"tt2290247,tt0938493,tt0104846,tt0816442",5.687794868448997,nm0041662,"Thriller, Comedy,Crime,Mystery, Action,Thriller, Crime,Romance,Thriller, Crime, Comedy, Family,Fantasy, Drama,History, Comedy,Crime, Drama,Romance, Drama,Mystery,Thriller, Drama,Family, Documentary,Romance, Comedy,Romance, Crime,Drama, Drama, Biography,Drama, Comedy,Drama,Romance, Drama,Thriller, Sci-Fi"
Nagwa Fouad,1939,NA,"actress,producer","tt0360213,tt0140435,tt1482165,tt0376780",5.507624248082065,nm0288206,"Adventure,Comedy,Romance, Thriller, Crime,Romance,Thriller, Crime,Drama,Thriller, Action,Comedy,Musical, Comedy, Comedy,Music, Comedy,Fantasy,Musical, Comedy,Crime, Crime,Mystery,Thriller, Drama,Romance, Comedy,Drama, Action,Drama, Crime,Drama,Romance, Musical,Romance, Comedy,Romance, Action,Adventure,Drama, Drama, Romance, Comedy,Family,Romance, Comedy,Musical, Comedy,Musical,Romance, Adventure,Comedy, Adventure,Crime, Sci-Fi"
Barbara Moose,NA,NA,actress,"tt0282461,tt1389499,tt0080794,tt1184986",4.847527230900474,nm0602167,"Fantasy,Sci-Fi, Comedy, Drama, Adult,Comedy,Fantasy, Adult,Drama,War, Comedy,Drama, Adult, Adult,Drama, Adult,Comedy"
Macha Méril,1940,NA,"actress,producer,soundtrack","tt0073582,tt0089960,tt0058701,tt0061395",5.759808767630635,nm0617736,"Comedy, Horror,Mystery,Thriller, Drama,History, Comedy,Drama, Comedy,Sci-Fi, Drama,Romance, Drama,Mystery,Thriller, Adventure,Western, Drama,Family, Horror,Thriller, Crime,Thriller, Crime,Drama,Mystery, Comedy,Romance, Biography,Drama,War, Drama, Drama,War, Comedy,Fantasy, Drama,Thriller"
Elizabeth Oropesa,NA,NA,"actress,soundtrack","tt0097404,tt0260769,tt0343956,tt5651436",6.002541941750475,nm0650394,"Action, Crime,Drama,Thriller, Comedy, Horror, Comedy,Drama, Drama,Romance, Crime,Drama,Romance, Comedy,Romance, Crime,Drama, Action,Adventure,Crime, Drama, Action,Adventure,Fantasy, Action,Drama,Romance, Fantasy,Horror, Drama,Thriller, Drama,History,Sci-Fi, Sci-Fi"
Marilyn Jess,1959,NA,actress,"tt0196345,tt0167834,tt1240496,tt0146082",5.117559678193164,nm0873945,"Adult,Thriller, Adult,Sci-Fi, Adult,Mystery, Adult,Crime, Adult, Adult,Drama,Romance, Adult,Drama, Adult,Comedy"
Liv Ullmann,1938,NA,"actress,director,writer","tt0077711,tt0060827,tt0067919,tt0069467",6.224926921456911,nm0880521,"Drama,Fantasy, Drama,History, Crime,Horror,Thriller, Drama,Romance, Comedy,Drama, Documentary, Drama,Mystery,Thriller, Drama,Fantasy,Horror, Drama,Western, Biography,Drama,History, Action,Crime,Drama, Drama,Music, Comedy,Romance, Drama, Drama,Sport,Thriller, Biography,Drama, Drama,Horror,Mystery, Drama,Thriller, Adventure,Drama,Fantasy"
Kirsten Dunst,1982,NA,"actress,producer,soundtrack","tt0110367,tt0145487,tt1527186,tt0110148",5.941147167273639,nm0000379,"Comedy, Crime,Mystery,Romance, Drama,Romance,War, Biography,Comedy,Drama, Adventure,Comedy,Family, Drama,Mystery,Sci-Fi, Action,Adventure,Comedy, Crime,Drama, Crime,Drama,Mystery, Drama,Fantasy,War, Adventure,Animation,Family, Comedy,Romance,Sport, Drama,Fantasy,Romance, Drama,Family,Romance, Action,Crime,Fantasy, Drama,History, Crime,Drama,Romance, Drama,Romance, Drama,Fantasy,Mystery, Drama,Fantasy,Horror, Drama,Western, Comedy,Romance,Thriller, Animation,Family,Fantasy, Drama,History,Thriller, Biography,Drama,History, Comedy,Romance, Action,Adventure,Sci-Fi, Drama, Drama,Sci-Fi, Comedy,Drama,Romance, Adventure,Drama,Family"
Jennifer Jason Leigh,1962,NA,"actress,producer,soundtrack","tt0108122,tt0109642,tt0105414,tt3460252",5.872222200471052,nm0000492,"Drama,Mystery,Romance, Crime,Drama,Thriller, Comedy, Drama,Horror,Thriller, Comedy,Drama, Horror,Mystery,Sci-Fi, Comedy,Drama,Fantasy, Comedy,Crime,Drama, Horror,Thriller, Fantasy,Romance, Crime,Drama,Mystery, Crime,Drama, Crime,Drama,Fantasy, Adventure,Drama,Horror, Action,Mystery,Thriller, Adventure,Drama,Mystery, Drama,Romance, Comedy,Mystery, Biography,Drama,History, Adventure,Drama, Action,Crime,Drama, Drama,Music, Drama, Mystery,Thriller, Biography,Drama, Crime,Drama,Music, Comedy,Drama,Romance, Drama,Thriller, Animation,Comedy,Drama"
Kate Winslet,1975,NA,"actress,producer,soundtrack","tt0959337,tt0338013,tt0120338,tt0114388",6.308078088415802,nm0000701,"Drama,Mystery,Romance, Animation,Family, Biography,Drama,Romance, Comedy,Drama, Documentary, Comedy,Drama,Family, Adventure,Animation,Comedy, Crime,Drama,Mystery, Comedy,Musical,Romance, Drama,Family,Fantasy, Adventure,Drama,Romance, Adventure,Animation,Family, Biography,Drama,Family, Drama,Romance,Sci-Fi, Drama,Romance,Thriller, Drama,Romance, Action,Adventure,Animation, Animation,Family,Fantasy, Drama,Family, Biography,Drama,History, Comedy,Drama,Western, Comedy,Romance, Action,Adventure,Sci-Fi, Drama, Biography,Drama, Biography,Crime,Drama, Action,Adventure,Mystery, Drama,Thriller, Adventure,Documentary,Family"
Toni Collette,1972,NA,"actress,producer,soundtrack","tt0276751,tt0167404,tt0274558,tt7784604",6.040389160600375,nm0001057,"Comedy,Fantasy,Horror, Action,Thriller, Crime,Drama,Thriller, Comedy,Crime,Music, Comedy, Biography,Comedy,Drama, Comedy,Crime, Comedy,Drama, Drama,Mystery,Thriller, Comedy,Drama,Family, Crime,Drama, Crime,Drama,Mystery, Adventure,Sci-Fi,Thriller, Drama,Horror,Mystery, Adventure,Documentary, Comedy,Horror, Crime,Horror,Mystery, Adventure,Animation,Family, Drama,Romance, Action,Adventure,Animation, Crime,Drama,Horror, Comedy,Romance, Drama,Music, Drama, Action,Comedy,Crime, Comedy,Drama,Music, Biography,Crime,Drama, Comedy,Drama,Romance, Drama,Thriller, Animation,Comedy,Drama"
Yvonne De Carlo,1922,2007,"actress,soundtrack","tt0049833,tt0050166,tt0060726,tt0042287",4.960832124090007,nm0001119,"Comedy,Family,Music, Crime,Drama,Thriller, Comedy,Crime,Family, Romance,Western, Comedy,Crime,Horror, Comedy, Adventure,Comedy,Family, Drama,Romance,Western, Horror, Drama,Horror, Sci-Fi,Thriller, Crime,Drama,Film-Noir, Western, Musical,Romance, Horror,Thriller, Action,Adventure,Drama, Fantasy,Horror, Drama,History,Romance, Comedy,Western, Comedy,Horror, Horror,Mystery,Thriller, Adventure,Western, Drama,Western, Action,Adventure,Romance, Adventure,Drama, Comedy,Romance,War, Biography,Drama,Music, Drama, Drama,Thriller"
Suhasini,1961,NA,"actress,writer,producer","tt0307202,tt0235617,tt0121401,tt0250761",6.423234681509859,nm0007124,"Thriller, Action,Family, Crime, Comedy, Comedy,Drama, Musical,Romance, Horror,Sci-Fi,Thriller, Action,Drama,Family, Romance, Drama,Mystery, Action,Drama,Romance, Action,Drama,Thriller, Action,Comedy,Drama, Drama,Musical,Romance, Drama,Sport, Drama,Romance, Action,Drama, Comedy,Mystery, Drama,Family, Biography,Drama,History, Family,Musical, Comedy,Romance, Action,Crime,Drama, Drama, Action,Crime,Romance, Comedy,Drama,Romance, Comedy,Family, Family"
Amy Adams,1974,NA,"actress,producer,soundtrack","tt0964517,tt0461770,tt2543164,tt1560747",6.233361972045827,nm0010736,"Adventure,Comedy,Family, Drama,Sport, Comedy, Biography,Comedy,Drama, Drama,Romance,Sci-Fi, Drama,History, Drama,Mystery,Sci-Fi, Biography,Drama,Romance, Comedy,Drama, Action,Adventure,Comedy, Adventure,Animation,Comedy, Comedy,Romance, Crime,Drama, Action,Adventure,Sci-Fi, Crime,Drama,Mystery, Drama, Drama,Mystery, Action,Adventure,Fantasy, Action,Biography,Drama, Biography,Crime,Drama, Comedy,Drama,Romance, Drama,Thriller, Drama,Musical, Adventure,Drama,Romance"
Karin Dor,1938,2017,"actress,soundtrack","tt0056305,tt0060749,tt0062512,tt0065112",5.396916994365766,nm0233312,"Adventure,Crime,Musical, Crime,Drama,Thriller, Adventure,Drama,Western, Comedy,Crime,Music, Comedy, Horror, Horror,Mystery, Comedy,Music, Drama,History, Drama,Romance, Western, Adventure,Western, Horror,Sci-Fi, Crime,Drama,Horror, Comedy,Crime,Drama, Drama,Family, Crime,Drama, Action,Crime,Drama, Action,Adventure,Crime, Crime,Drama,Mystery, Drama, Mystery,Thriller, Comedy,Musical,Romance, Drama,Thriller, Action,Adventure,War, Crime,Horror,Mystery"
Gina Lollobrigida,1927,2023,"actress,soundtrack,director","tt0062767,tt0054759,tt0053290,tt0050781",5.434218162422653,nm0518178,"Adventure,Comedy,Romance, Crime,Drama,Thriller, Adventure, Comedy, Comedy,Fantasy,Music, Comedy,Romance,Western, Comedy,Crime, Drama,Romance, Comedy,Drama, Drama,History,Horror, Comedy,Crime,Drama, Horror,Thriller, Action,Adventure,Comedy, Adventure,Biography,Drama, Comedy,Romance, Crime,Drama, Biography,Drama,Music, Drama, Drama,War, Drama,History,Romance, Comedy,Drama,Romance, Adventure,Drama,Romance"
Sandhya Roy,1941,NA,actress,"tt0237260,tt0237499,tt0290448,tt1275692",6.572538844065934,nm0747178,"Drama,Musical,Romance, Drama, Horror, Romance, Drama,Family,Musical, Drama,Family,Fantasy, Drama,Family, Drama,Family,Music"
Amrita Singh,1958,NA,actress,"tt2372678,tt8130968,tt1486317,tt0811066",5.370593056141052,nm0802080,"Action,Thriller, Action, Horror, Action,Fantasy,Horror, Drama,Romance, Action,Drama, Crime,Drama,Romance, Biography,Drama,History, Crime,Drama, Crime,Drama,Mystery, Action,Romance, Action,Adventure,Drama, Drama, Action,Crime,Drama, Action,Drama,Romance, Comedy,Fantasy, Comedy,Musical,Romance, Action,Drama,Thriller, Action,Crime, Comedy,Drama,Romance, Action,Comedy,Drama"
Silk Smitha,1960,1996,"actress,producer","tt0353658,tt4445486,tt0245998,tt0245995",5.950802385412368,nm0810426,"Action, Crime, Romance,Thriller, Adventure,Comedy,Sci-Fi, Horror, Adventure,Fantasy,Thriller, Drama,Romance, Action,Drama, Comedy,Drama, Action,Comedy,Romance, Action,Crime,Drama, Action,Romance, Drama, Action,Adventure,Fantasy, Crime,Drama,Music, Action,Crime,Thriller, Comedy,Family, Action,Comedy,Drama, Musical"
Marianne Sägebrecht,1945,NA,"actress,writer,soundtrack","tt0100115,tt0095801,tt0133385,tt0098621",5.408484832784442,nm0845270,"Biography,Drama,History, Comedy,Drama,Family, Adventure,Animation,Comedy, Comedy,Romance, Comedy, Drama, Family,Fantasy, Animation,Comedy,Family, Comedy,Fantasy, Comedy,Crime, Comedy,Drama, Comedy,Drama,Romance, Drama,Family"
Malin Akerman,1978,NA,"actress,producer,soundtrack","tt0409459,tt1336608,tt2118624,tt0408839",5.268488619038085,nm0015196,"Thriller, Comedy,Fantasy,Horror, Action,Thriller, Comedy,Crime,Horror, Comedy, Action,Drama,Mystery, Action,Comedy,Family, Crime,Drama,Romance, Comedy,Drama, Biography,Drama,History, Comedy,Romance, Action,Adventure,Sci-Fi, Drama, Romance, Comedy,Musical,Romance, Crime,Drama,Music, Action,Crime,Thriller, Comedy,Drama,Romance, Action,Comedy,Drama"
Alessandra De Rossi,1984,NA,"actress,soundtrack,writer","tt13136084,tt4524144,tt8512120,tt9279666",6.010147056166982,nm0211278,"Fantasy,Horror,Romance, Crime,Drama,Thriller, Drama,Romance, Horror,Thriller, Action,Crime,Drama, Crime,Drama, Comedy,Romance, Drama, Biography,Drama,Sport, Drama,Horror,Mystery, Comedy,Drama,Romance, Drama,History,Sci-Fi, Adventure,Drama,Romance, Adventure,Drama,Fantasy"
Chhayadevi,1914,2001,"actress,music_department","tt0237135,tt0364069,tt0028626,tt0256691",6.460027757567393,nm0222444,"Drama,Musical,Romance, Drama, Horror, Romance, Mystery,Thriller, Drama,Romance, Comedy,Drama, Family, Drama,Fantasy,Musical, Drama,Musical"
Lan Law,1934,NA,actress,"tt0214555,tt0117415,tt2957774,tt0107904",5.215119486264916,nm0492352,"Animation,Comedy,Fantasy, Comedy,Fantasy,Horror, Biography,Crime,Horror, Action,Crime,Drama, Comedy, Comedy,Horror,Mystery, Horror, Horror,Mystery, Mystery,Thriller, Comedy,Crime, Comedy,Drama, Horror,Romance, Comedy,Horror"
Rambha,1976,NA,"actress,producer","tt0264415,tt0491772,tt10682798,tt1579533",5.883057916974305,nm0708095,"Comedy,Drama,Mystery, Action, Drama,Musical,Romance, Comedy, Action,Drama,Mystery, Drama,Romance, Action,Drama, Comedy,Drama, Drama,Family, Comedy,Romance, Action,Crime,Drama, Drama, Action,Comedy,Crime, Romance, Action,Drama,Romance, Action,Drama,Thriller, Comedy,Drama,Romance, Action,Comedy,Drama, Drama,Thriller, Drama,Musical"
Tiffany Shepis,1979,NA,"actress,producer,miscellaneous","tt4102722,tt4163020,tt5534434,tt3148266",5.215500968853864,nm0791898,"Thriller, Comedy,Drama,Horror, Comedy, Horror, Horror,Mystery,Thriller, Comedy,Horror,Thriller, Crime,Horror,Thriller, Comedy,Drama, Horror,Sci-Fi, Horror,Thriller, Action,Adventure,Drama, Crime,Mystery,Western, Action,Horror,Thriller, Action,Crime,Horror, Comedy,Horror, Crime,Horror,Mystery"
Soundarya,1972,2004,"actress,producer","tt0264357,tt0275925,tt1339248,tt0330241",6.078637971182905,nm0815897,"Action,Thriller, Action, Comedy, Drama,Horror,Thriller, Drama,Fantasy, Comedy,Drama, Drama,Romance, Action,Drama, Drama,Family, Action,Drama,Fantasy, Comedy,Drama,Family, Fantasy, Comedy,Romance, Drama, Romance, Action,Drama,Romance, Action,Drama,Thriller, Comedy,Drama,Romance, Comedy,Family, Action,Comedy,Drama, Drama,Family,History, Fantasy,Thriller, Family"
Kushboo,1970,NA,"producer,actress,writer","tt0082594,tt2063749,tt0276224,tt0306645",5.9807451858198615,nm1001243,"Action,Thriller, Action, Drama,Family,Romance, Comedy, Action,Drama,Mystery, Drama,Fantasy, Comedy,Crime, Drama,Romance, Action,Drama, Drama,Family, Action,Crime,Drama, Comedy,Romance, Drama, Romance, Biography,Drama, Action,Drama,Romance, Action,Crime, Comedy,Drama,Romance, Family, Action,Comedy,Drama, Action,Comedy,Thriller"
Julia Koschitz,1974,NA,"actress,soundtrack","tt1670632,tt3273636,tt9654108,tt2225232",5.582939006877929,nm1918947,"Thriller, Drama,Mystery,Romance, Crime, Comedy, Romance,Thriller, Adventure,Comedy,Drama, Comedy,Crime, Comedy,Drama, Drama,Romance, Crime,Drama, Drama, Drama,Horror,Mystery, Drama,History,Romance, Comedy,Drama,Romance"
Rae Dawn Chong,1961,NA,"actress,soundtrack,director","tt1588334,tt0088939,tt0088944,tt0082484",4.999899723677741,nm0001044,"Thriller, Action, Comedy, Drama,Sport, Comedy,Horror,Sci-Fi, Horror, Comedy,Horror,Thriller, Adventure,Comedy,Drama, Comedy,Drama, Horror,Thriller, Adventure,Drama, Crime,Drama,Mystery, Action,Sci-Fi,Thriller, Action,Adventure,Sci-Fi, Crime,Drama, Drama, Action,Comedy,Crime, Drama,Music, Action,Adventure,Thriller, Mystery,Thriller, Action,Crime,Drama, Comedy,Romance, Fantasy,Horror,Sci-Fi, Action,Crime,Thriller, Drama,Thriller, Sci-Fi"
Amanda Plummer,1957,NA,"actress,writer","tt0101889,tt2190165,tt0110912,tt8806524",5.301230286409287,nm0001625,"Thriller, Drama,Sci-Fi,Thriller, Crime,Drama,Thriller, Comedy, Animation,Family, Drama,Horror,Thriller, Sci-Fi,Thriller, Drama,Romance, Comedy,Drama, Fantasy, Comedy,Romance, Action,Sci-Fi,Thriller, Drama, Biography,Drama, Action,Drama,Thriller, Crime,Drama,Fantasy, Comedy,Drama,Romance, Comedy,Horror"
Anne Hathaway,1982,NA,"actress,soundtrack,producer","tt0758752,tt1084950,tt1345836,tt1707386",6.2357123500239595,nm0004266,"Drama,Musical,Romance, Comedy,Family,Fantasy, Adventure,Comedy,Family, Biography,Drama,Romance, Comedy,Crime, Drama,Romance, Comedy,Drama, Drama,Mystery,Thriller, Documentary, Comedy,Drama,Fantasy, Action,Adventure,Comedy, Biography,Drama,History, Adventure,Animation,Comedy, Adventure,Biography,Drama, Crime,Drama, Crime,Drama,Mystery, Comedy,Romance, Drama, Action,Comedy,Crime, Comedy,Family,Romance, Mystery,Romance,Thriller, Adventure,Family,Fantasy, Action,Drama,Thriller, Comedy,Drama,Romance, Comedy,Crime,Romance, Drama,Music,Romance, Adventure,Drama,Sci-Fi"
Bunny Bleu,1964,NA,actress,"tt0181334,tt0289929,tt0144465,tt0190658",5.755030040783885,nm0088297,"Adult,Sci-Fi, Adult,Fantasy, Adult,Comedy,Drama, Adult,Romance, Adult, Adult,Comedy,Romance, Adult,Comedy"
Sharon Kane,1956,NA,"actress,miscellaneous,composer","tt0290610,tt0183889,tt1161967,tt0284080",5.672541336405426,nm0128880,"Adult,Fantasy, Adult,Comedy,Drama, Adult,Biography, Fantasy,Horror, Adult,Romance, Drama,Romance, Adult, Adult,Drama,Romance, Adult,Comedy,Romance, Adult,Drama, Adult,Comedy, Adult,Comedy,Sci-Fi"
Carmen Montejo,1925,2013,"actress,soundtrack","tt0189771,tt0248908,tt0268654,tt0066877",5.807518104054507,nm0599269,"Crime,Drama,Thriller, Comedy, Comedy,Mystery,Thriller, Horror,Mystery,Thriller, Comedy,Drama, Action,Drama, Drama,Romance, Drama,Family, Comedy,Drama,Thriller, Comedy,Drama,Family, Crime,Drama,Family, Crime,Drama,Mystery, Drama, Drama,Thriller,War, Adventure,Drama,Family, Drama,Thriller, Drama,Musical"
Eleonora Rossi Drago,1925,2007,actress,"tt0052786,tt0046505,tt0064122,tt0047821",5.327994550056667,nm0744103,"Comedy, Drama,Romance,War, Drama,Horror,Thriller, Adventure,History,War, Drama,Romance, Comedy,Drama, Documentary, Crime,Drama,Horror, Action,Drama,Family, Adventure,Drama, Crime,Thriller, Crime,Drama, Drama, Drama,War, Mystery,Thriller, Biography,Drama, Comedy,Fantasy,Sci-Fi, Adventure,Crime"
Sandra Bullock,1964,NA,"producer,actress,soundtrack","tt1454468,tt0212346,tt1041829,tt0111257",5.936651015135455,nm0000113,"Comedy,Fantasy,Romance, Crime,Drama,Thriller, Comedy, Action,Sci-Fi, Biography,Drama,Romance, Comedy,Drama, Documentary, Horror,Mystery,Sci-Fi, Comedy,Drama,Fantasy, Action,Adventure,Comedy, Adventure,Animation,Comedy, Action,Adventure,Crime, Crime,Drama, Action,Adventure,Drama, Drama,Horror,Mystery, Comedy,Crime,Romance, Drama,Sci-Fi,Thriller, Adventure,Drama,Mystery, Drama,Fantasy,Romance, Adventure,Animation,Drama, Crime,Mystery,Thriller, Drama,Romance, Drama,Fantasy,Mystery, Comedy,Romance, Action,Crime,Drama, Action,Sci-Fi,Thriller, Drama, Action,Comedy,Crime, Comedy,Drama,Music, Action,Adventure,Thriller, Biography,Drama,Sport, Biography,Crime,Drama, Comedy,Drama,Romance"
