primaryName,birthYear,deathYear,primaryProfession,knownForTitles,average_popularity,nconst,aggregated_genres
Robert Forster,1941,2019,"actor,producer,director","tt0119396,tt2302755,tt0166924,tt1033575",5.880908602749714,nm0001233,"Action,Drama,War, Drama,Mystery,Romance, Crime,Drama,Thriller, Comedy, Action,Sci-Fi, Crime,Horror,Thriller, Comedy,Drama, Documentary, Comedy,Drama,Fantasy, Horror,Sci-Fi,Thriller, Action,Drama,Fantasy, Crime,Drama,Mystery, Crime,Drama, Action,Adventure,Drama, Drama,Mystery, Action,Drama,Thriller, Action,Crime,Thriller, Adventure,Comedy, Action,Crime,Horror, Drama,Sport, Action,Romance,Sci-Fi, Comedy,Crime,Thriller, Crime,Mystery,Thriller, Drama,Western, Drama,Family, Crime,Drama,Horror, Comedy,Thriller, Action,Crime,Drama, Comedy,Romance, Drama, Comedy,Horror,Mystery, Action,Comedy,Crime, Biography,Crime,Drama, Comedy,Drama,Romance, Drama,Thriller, Drama,Horror,Romance"
John Glover,1944,NA,"actor,soundtrack,miscellaneous","tt0096061,tt0099700,tt0120784,tt0113409",5.700331060228232,nm0001278,"Thriller, Crime,Drama,Thriller, Mystery,Sci-Fi,Short, Comedy, Horror, Comedy,Horror,Sci-Fi, Sci-Fi,Thriller, Horror,Mystery,Thriller, Comedy,Drama,Fantasy, Horror,Thriller, Adventure,Drama, Crime,Drama,Mystery, Crime,Drama, Action,Sci-Fi,Thriller, Action,Adventure,Drama, Drama, Comedy,Romance, Biography,Drama, Mystery,Romance,Thriller, Drama,Horror,Mystery, Biography,Crime,Drama, Crime,Drama,Fantasy, Comedy,Western"
Graham Greene,1952,NA,"actor,writer,miscellaneous","tt5362988,tt0110478,tt0099348,tt0120689",6.55903650619136,nm0001295,"Adventure,Drama,Western, Comedy, Family,Fantasy, Horror, Adventure,Comedy,Drama, Action,Drama,Sci-Fi, Comedy,Drama, Mystery, Documentary, Horror,Thriller, Action,Adventure,Comedy, Adventure,Horror,Thriller, Crime,Drama,Family, Crime,Drama,Mystery, Crime,Drama, Drama,Horror,Mystery, Action,Drama,Thriller, Crime,Drama,Fantasy, Drama,Family,Fantasy, Biography,Drama,Family, Adventure, Documentary,History, Drama,Romance, Crime,Mystery,Thriller, Documentary,History,News, Drama,Family, Crime,Drama,Horror, Adventure,Drama, Biography,Drama,History, Fantasy, Action,Crime,Drama, Drama, Action,Adventure,Thriller, Mystery,Thriller, Drama,Thriller,Western, Adventure,Drama,Family"
Bob Hoskins,1942,2014,"actor,soundtrack,director","tt0108255,tt0081070,tt0091538,tt0096438",5.916408077623425,nm0001364,"Crime,Musical, Adventure,Comedy,Family, Comedy, Drama,Romance,War, Action,Comedy, Animation, Adventure,Comedy,Drama, Comedy,Drama, Documentary, Comedy,Drama,Fantasy, Comedy,Crime,Drama, Adventure,Animation,Comedy, Crime,Drama,Mystery, Action,Crime,Thriller, Comedy,Crime,Romance, Comedy,Drama,History, Comedy,Family,Fantasy, Adventure,Animation,Drama, Drama,Romance,Thriller, Crime,Drama,Romance, Drama,Romance, Action,Drama, Action,Crime,Drama, Action,Sci-Fi,Thriller, Biography,Drama,Music, Drama, Comedy,Drama,Music, Biography,Drama, Biography,Crime,Drama, Comedy,Drama,Romance, Adventure,Drama,Family, Drama,Thriller"
Ice-T,1958,NA,"actor,producer,soundtrack","tt0102526,tt0114614,tt0111323,tt0113481",5.633672815601569,nm0001384,"Thriller, Action,Thriller, Action, Crime,Drama,Thriller, Crime, Action,Comedy,Sci-Fi, Action,Drama,Sci-Fi, Action,Drama, Documentary, Action,Comedy,Romance, Action,Crime,Drama, Crime,Drama, Action,Adventure,Crime, Crime,Drama,Mystery, Drama, Documentary,Music, Action,Drama,Thriller, Action,Crime, Action,Crime,Thriller, Crime,Drama,Music, Drama,Thriller, Action,Crime,Horror"
Kevin Pollak,1957,NA,"actor,producer,writer","tt0104257,tt0327247,tt0146675,tt0114814",5.723467739559636,nm0001629,"Thriller, Comedy, Horror, Action,Comedy, Biography,Drama,Romance, Comedy,Drama, Drama,Mystery,Thriller, Comedy,Crime,Drama, Crime,Drama,Mystery, Crime,Drama, Action,Comedy,Drama, Comedy,Horror, Comedy,Short, Drama,Sport, Action,Fantasy,Horror, Crime,Drama,Romance, Comedy,Mystery, Crime,Drama,Horror, Drama,Family,Music, Comedy,Romance, Drama,Music, Action,Crime,Drama, Drama, Action,Comedy,Crime, Biography,Drama,Sport, Comedy,Fantasy, Comedy,Drama,Romance, Comedy,Family, Family, Drama,Thriller"
Robert Vaughn,1932,2016,"actor,director","tt0062765,tt0086393,tt0072308,tt0054047",5.951720216962913,nm0001816,"Thriller, Comedy,Fantasy,Horror, Action,Thriller, Action,Drama,War, Comedy, Horror,Mystery, Comedy,Drama,Sport, Sci-Fi,Thriller, Comedy,Crime, Comedy,Drama, Western, Horror,Thriller, Action,Adventure,Comedy, Crime,Thriller, Action,Adventure,Crime, Crime,Drama,Mystery, Crime,Drama, Action,Adventure,Drama, Action,Crime,Thriller, Adventure, Horror,Mystery,Thriller, Drama,History, Action,Drama, Drama,Western, Horror,Sci-Fi, Comedy,Romance, Action,Sci-Fi,Thriller, Action,Crime,Drama, Action,Adventure,Sci-Fi, Drama, Action,Adventure,Thriller, Biography,Drama, Adventure,Family,Fantasy, Adventure,Sci-Fi, Drama,Sci-Fi, Action,History,War, Adventure,Crime, Sci-Fi"
Alexander Skarsgård,1976,NA,"actor,producer,director","tt0918940,tt7598448,tt3920596,tt0844441",5.866591564315206,nm0002907,"Thriller, Comedy, Comedy,Drama, Drama,Mystery,Thriller, Horror,Sci-Fi,Thriller, Crime,Drama,Sport, Crime,Drama,Mystery, Crime,Drama, Action,Adventure,Drama, Action,Drama,Thriller, Adventure,Animation,Family, Crime,Horror,Mystery, Mystery,Sci-Fi,Thriller, Drama,Romance, Drama,Fantasy,Mystery, Drama,Fantasy,Horror, Drama,Family, Biography,Drama,History, Adventure,Crime,Drama, Action,Crime,Drama, Action,Sci-Fi,Thriller, Action,Adventure,Sci-Fi, Drama, Action,Comedy,Crime, Action,Biography,Drama, Drama,Sci-Fi, Comedy,Drama,Romance, Drama,Thriller"
Taye Diggs,1971,NA,"actor,producer,soundtrack","tt0299658,tt0238380,tt0294870,tt0185371",5.8238951177490526,nm0004875,"Thriller, Drama,Musical,Romance, Crime, Drama,Sport, Horror,Mystery,Thriller, Action,Drama,Sci-Fi, Comedy,Crime, Comedy,Drama, Drama,Romance, Drama,Mystery,Thriller, Comedy,Crime,Musical, Horror,Thriller, Adventure,Animation,Comedy, Crime,Drama,Mystery, Action,Crime,Drama, Comedy,Romance, Drama, Comedy,Drama,Music, Action,Comedy,Crime, Comedy,Drama,Romance, Drama,Thriller, Comedy,Family,Reality-TV"
Patrick Muldoon,1968,NA,"actor,producer,soundtrack","tt0103491,tt0120201,tt11196036,tt9139586",4.549497765877058,nm0005258,"Thriller, Action,Thriller, Comedy, Action,Comedy, Horror, Drama,Mystery,Thriller, Horror,Mystery,Sci-Fi, Horror,Thriller, Action,Adventure,Comedy, Comedy,Drama,Family, Action,Adventure,Drama, Action,Crime,Mystery, Adventure,Family, Comedy,Drama,Musical, Action,Crime,Thriller, Action,Drama,Thriller, Action,Mystery,Thriller, Action,Horror,Sci-Fi, Action,Comedy,Family, Horror,Mystery,Thriller, Crime,Mystery,Thriller, Comedy,Romance, Action,Crime,Drama, Drama, Action,Adventure,Thriller, Adventure,Family,Fantasy, Comedy,Drama,Romance, Comedy,Family, Family, Drama,Thriller, Family,Sci-Fi"
Ryan Reynolds,1976,NA,"actor,producer,writer","tt1431045,tt5463162,tt1462758,tt1041829",6.048638275399197,nm0005351,"Action,Thriller, Comedy,Crime,Horror, Comedy, Action,Comedy, Horror, Action,Sci-Fi, Adventure,Biography,Documentary, Comedy,Drama, Drama,Mystery,Thriller, Comedy,Game-Show, Horror,Sci-Fi,Thriller, Action,Adventure,Comedy, Comedy,Drama,Family, Adventure,Animation,Comedy, Crime,Drama,Mystery, Action,Comedy,Thriller, Action,Mystery,Sci-Fi, Action,Horror,Sci-Fi, Drama,Fantasy,Mystery, Action,Adventure,Animation, Comedy,Family,Musical, Biography,Drama,History, Comedy,Romance, Action,Sci-Fi,Thriller, Action,Adventure,Sci-Fi, Drama, Action,Comedy,Crime, Comedy,Fantasy, Animation,Comedy, Comedy,Drama,Romance, Drama,Thriller"
Scott Adkins,1976,NA,"actor,producer,stunts","tt10366206,tt3344680,tt13314558,tt8836988",5.074545493807614,nm0012078,"Action,Thriller, Action,Comedy,Sci-Fi, Action,Horror,Sci-Fi, Action,Comedy, Action,Sci-Fi, Action,Drama, Documentary, Horror,Thriller, Action,Crime,History, Action,Horror, Action,Adventure,Comedy, Action,Horror,Mystery, Action,Crime,Drama, Action,Sci-Fi,Thriller, Action,Adventure,Sci-Fi, Action,Comedy,Crime, Action,Adventure,Fantasy, Action,Biography,Drama, Action,Crime,Thriller, Action,Crime, Action,Comedy,Drama"
Mircea Albulescu,1934,2016,actor,"tt0077120,tt0107505,tt0062814,tt0481797",6.152653684087179,nm0017062,"History,War, Action,Thriller, Action, Adventure, Comedy,Romance,Sport, Comedy, Adventure,Drama,War, Crime, Animation, Drama,History, Drama,Romance, Comedy,Drama, Action,History, War, Comedy,Drama,Family, Action,Crime,Drama, Crime,Drama, Drama, Drama,War, Romance, Action,Adventure,History"
Ernesto Alterio,1970,NA,"actor,soundtrack","tt0301524,tt0212311,tt1726888,tt2419986",5.33731779056676,nm0022764,"Thriller, Action,Thriller, Crime,Drama,Thriller, Comedy, Comedy,Mystery,Thriller, Adventure,Comedy,Drama, Drama,Romance, Comedy,Drama, Crime,Drama,Mystery, Comedy,Romance, Drama, Biography,Drama, Adventure,Fantasy, Comedy,Musical,Romance, Comedy,Sport, Comedy,Drama,Musical, Comedy,Drama,Romance, Adventure,Comedy, Drama,Thriller"
John Astin,1930,NA,"actor,director,soundtrack","tt0056575,tt0116365,tt0067072,tt0057729",6.035903202586435,nm0040014,"Comedy,Fantasy,Horror, Comedy,Family,Fantasy, Comedy, Action,Comedy, Horror, Adventure,Comedy,Drama, Western, Comedy,War, Drama,Fantasy,Horror, Action,Adventure,Comedy, Comedy,Family,Horror, Comedy,Drama,Family, Adventure,Animation,Comedy, Action,Crime,Drama, Drama,Music, Drama, Comedy,Fantasy, Animation,Comedy,Sci-Fi, Comedy,Family, Comedy,Western, Comedy,Horror"
Diedrich Bader,1966,NA,"actor,soundtrack,producer","tt1073498,tt0151804,tt0374900,tt0385307",6.345038260419006,nm0046033,"Comedy,Family,Music, Comedy,Family,Fantasy, Comedy,Crime,Music, Comedy, Comedy,Drama, Comedy,Sci-Fi, Animation,Family,Short, Western, Action,Adventure,Animation, Comedy,Family,Musical, Action,Adventure,Comedy, Comedy,Romance, Drama, Animation,Comedy,Family, Comedy,Fantasy, Animation,Comedy, Comedy,Family, Action,Animation,Comedy, Animation,Comedy,Drama, Comedy,Horror, Adventure,Animation,Family"
Tobin Bell,1942,NA,"actor,producer,director","tt3275216,tt0387564,tt0095647,tt0106918",5.030680371371003,nm0068551,"Thriller, Action,Thriller, Crime,Drama,Thriller, Crime,Drama,History, Comedy, Horror, Horror,Mystery, Biography,Drama,Horror, Action,Sci-Fi, Horror,Mystery,Thriller, Sci-Fi,Thriller, Action,Drama,Sci-Fi, Biography,Drama,Romance, Crime,Mystery,Thriller, Horror,Sci-Fi, Horror,Thriller, Action,Horror, Crime,Drama, Adventure,Comedy,Crime, Drama, Drama,Horror,Mystery, Drama,Thriller"
Tom Bosley,1927,2010,"actor,soundtrack","tt0063829,tt1212436,tt0093012,tt0070992",5.811673514698609,nm0098014,"Comedy,Family,Music, Adventure,Drama,Western, Comedy, Animation,Family, Animation, Animation,Drama,Family, Documentary,History, Comedy,Drama, Drama,Mystery,Thriller, Comedy,War, Drama,Family, Comedy,Family,Musical, Biography,Drama,History, Adventure,Animation,Comedy, Crime,Drama,Mystery, Comedy,Romance, Drama, Animation,Comedy,Family, Animation,Comedy, Drama,History,Romance, Action,Comedy,Thriller, Comedy,Drama,Romance, Comedy,Crime,Romance, Drama,Thriller, Adventure,Animation,Family, Comedy,Crime,Mystery"
Raoul Bova,1971,NA,"actor,producer,director","tt1866205,tt1630637,tt0370263,tt0328589",5.590983012598891,nm0100556,"Thriller, Action,Drama,War, Action, Adventure, Crime, Comedy, Drama,Fantasy, Sci-Fi,Thriller, Adventure,Drama,History, Drama,Romance, Comedy,Drama, Action,Drama, Action,Adventure,Horror, Crime,Drama, Comedy,Romance, Action,Crime,Drama, Mystery,Romance, Drama, Drama,War, Action,Comedy,Crime, Romance, Comedy,Fantasy, Action,Crime,Thriller, Comedy,Drama,Romance, Drama,Family,Mystery"
Petar Bozovic,1946,NA,"actor,director","tt0079985,tt0081580,tt0094242,tt14895146",6.5129699551131095,nm0102522,"Comedy,Drama,War, Comedy, Horror, Drama,Horror, Drama,Fantasy, Adventure,Comedy,Drama, Comedy,Crime, Drama,Romance, Comedy,Drama, Documentary, Comedy,War, Biography,Drama,History, Drama, Drama,War, Biography,Drama, Comedy,Fantasy, Comedy,Drama,History"
Zbigniew Buczkowski,1951,NA,"actor,soundtrack","tt0162053,tt0083335,tt0117198,tt0330243",5.417634679167654,nm0118840,"Drama,Music, Comedy, Drama, Action,Comedy, Drama,War, Fantasy,Mystery, Adventure,Family,Fantasy, Comedy,Crime, Drama,Romance, Comedy,Drama,Romance, Comedy,Drama, Adventure,Animation,Family, Crime,Mystery"
Robert Z'Dar,1950,2015,"actor,producer","tt0130236,tt0104808,tt0098439,tt1454705",4.6379270481246015,nm0120494,"Thriller, Action,Thriller, Action, Fantasy,Sci-Fi, Action,Comedy,Horror, Adventure, Action,Fantasy, Horror, Horror,Mystery, Action,Sci-Fi, Action,Adventure, Action,Horror, Adventure,Family,Western, Action,Crime,Drama, Crime,Drama,Mystery, Drama, Fantasy,Horror, Action,Drama,Thriller, Action,Crime,Thriller, Action,Crime, Comedy,Horror, Sci-Fi"
Gino Cervi,1901,1974,"actor,miscellaneous,composer","tt0034660,tt0030107,tt0043918,tt0037916",5.847242890860631,nm0148974,"Drama,Mystery,War, Adventure, Crime, Comedy, Drama,History, Comedy,Drama, Drama,Romance, Comedy,War, Biography,Drama,History, Adventure,Biography,Drama, Crime,Drama, Drama, Drama,War, Comedy,Drama,Romance"
Paul Chang Chung,1931,2010,"actor,director,writer","tt0165197,tt0358181,tt8074610,tt0089374",5.545212015125375,nm0151787,"Thriller, Action,Thriller, Action, Drama,Musical,Romance, Action,Adventure, Drama,Romance, Action,Drama, Mystery, Comedy,Drama, Action,Adventure,Romance, Drama,History,Musical, Action,Adventure,Drama, Drama, Romance, Adventure,Family, Action,Crime"
Luciano Cáceres,1977,NA,"actor,producer","tt13091090,tt5143716,tt3594812,tt2314351",5.672581643766081,nm0194553,"Thriller, Crime,Drama,Thriller, Comedy, Drama,Horror, Comedy,Drama, Drama,Mystery,Thriller, Documentary, Horror,Thriller, Comedy,Drama,Thriller, Crime,Thriller, Comedy,Drama,Family, Crime,Drama,Mystery, Comedy,Romance, Crime,Drama, Drama, Drama,History,Romance, Action,Drama,Thriller, Comedy,Drama,Romance, Drama,Thriller, Drama,Musical, Crime,Mystery"
Devan,1952,NA,actor,"tt0352849,tt1039952,tt1311638,tt1602585",6.25070333761891,nm0222181,"Thriller, Action, Crime,Drama,Thriller, Crime, Comedy, Action,Drama,Mystery, Animation,Drama,Family, Comedy,Drama, Mystery, Crime,Thriller, Romance, Action,Crime,Mystery, Comedy,Musical,Romance, Comedy,Drama,Musical, Action,Crime,Thriller, Action,Comedy,Thriller, Action,Comedy,Drama, Adventure,Drama,Musical, Comedy,Drama,Horror, History, Drama,History, Crime,Mystery,Thriller, Action,Drama, Drama,Romance, Crime,Drama,Romance, Drama,Family, Action,Crime,Drama, Comedy,Romance, Action,Family,Thriller, Drama, Action,Crime, Family, Drama,Thriller, Drama,Musical, Adventure,Drama,Sci-Fi"
Michael Dobson,1966,NA,"actor,miscellaneous,director","tt0285531,tt0247827,tt1700841,tt0352416",6.175698971457533,nm0229923,"Animation,Crime,Drama, Animation,Drama,Fantasy, Action,Animation,Drama, Animation,Family, Adventure,Animation,Drama, Animation, Action,Animation,Fantasy, Action,Animation,Family, Adventure,Animation, Animation,Drama,Mystery, Action,Adventure,Animation, Action,Animation,Crime, Action,Adventure,Comedy, Animation,Comedy,Fantasy, Adventure,Animation,Comedy, Animation,Drama, Animation,Comedy, Action,Animation,Sport, Animation,Comedy,Sci-Fi, Action,Animation,Comedy, Adventure,Animation,Family"
Colin Friels,1952,NA,actor,"tt0091464,tt0115417,tt14174940,tt0099365",5.8981929709063365,nm0295506,"Thriller, Crime,Documentary,Reality-TV, Comedy, Drama,Sport, Animation,Family, Action,Drama,Mystery, Drama,Romance, Comedy,Drama, Documentary, Action,Adventure,Animation, Comedy,Drama,Fantasy, Comedy,Crime,Sci-Fi, Comedy,Drama,Thriller, Crime,Drama,Mystery, Action,Sci-Fi,Thriller, Crime,Drama, Drama,Music, Drama, Comedy,Drama,Romance, Drama,Thriller"
Keiji Fujiwara,1964,2020,"actor,soundtrack,editorial_department","tt0462422,tt2553376,tt0421357,tt0385700",6.415330812169532,nm0297873,"Animation,Comedy,Crime, Action, Animation,Crime,Drama, Animation,History, Animation,Comedy,Horror, Animation, Animation,Sport, Animation,Comedy,Romance, Action,Animation, Action,Animation,Crime, Animation,Musical, Action,Animation,Romance, Animation,Comedy,Fantasy, Action,Adventure,Comedy, Adventure,Animation,Comedy, Action,Animation,Sci-Fi, Action,Animation,Comedy, Action,Animation,Drama, Adventure,Animation,Short, Action,Adventure,Animation, Animation,Short, Animation,Comedy,Music, Animation,Mystery,Thriller, Animation,Comedy,Family, Animation,Comedy, Action,Animation,Sport, Animation,Comedy,Sci-Fi, Animation,Comedy,Drama"
Simon Greenall,1958,NA,"actor,writer,producer","tt1242460,tt0108796,tt0360201,tt0469021",6.522476531424775,nm0338425,"Comedy,Short, Comedy, Animation,Family, Animation,Comedy,Horror, Biography,Comedy,Drama, Animation, Adventure,Game-Show,Horror, Comedy,Drama, Animation,Short, Adventure,Animation,Comedy, Comedy,Romance, Animation,Comedy,Family, Comedy,Fantasy, Animation,Comedy, Comedy,Talk-Show, Reality-TV, Comedy,Family, Adventure,Animation,Family"
Jake Gyllenhaal,1980,NA,"actor,producer,soundtrack","tt0246578,tt0388795,tt1392214,tt2872718",6.423114267879744,nm0350453,"Adventure,Comedy,Romance, Crime,Drama,Thriller, Action,Drama,Mystery, Drama,Mystery,Sci-Fi, Comedy,Drama, Drama,Mystery,Thriller, Horror,Sci-Fi,Thriller, Action,Adventure,Comedy, Crime,Drama,Mystery, Crime,Drama, Action,Adventure,Drama, Drama,Thriller,War, Drama,Mystery, Action,Drama,Thriller, Biography,Drama,Family, Horror,Mystery,Thriller, Drama,Romance, Action,Adventure,Animation, Drama,Western, Action,Crime,Drama, Action,Adventure,Sci-Fi, Biography,Drama,War, Drama, Biography,Drama, Action,Adventure,Fantasy, Comedy,Drama,Romance, Action,Drama,Sport, Drama,Thriller"
Yukijirô Hotaru,1951,NA,actor,"tt0111822,tt0113142,tt0103327,tt0142166",5.972828438902258,nm0396212,"Action, Crime,Drama,Thriller, Crime, Comedy, Action,Comedy,Sci-Fi, Horror, Action,Comedy, Drama,Horror,Thriller, Action,Sci-Fi, Sci-Fi,Thriller, Action,Fantasy,Horror, Drama,Romance, Comedy,Sci-Fi, Comedy,Mystery, Comedy,Drama,Fantasy, Action,Drama,Family, Action,Drama,Fantasy, Action,Adventure,Comedy, Action,Fantasy,Sci-Fi, Fantasy, Comedy,Romance, Drama, Action,Adventure,Fantasy, Family, Comedy,Horror"
