primaryName,birthYear,deathYear,primaryProfession,knownForTitles,average_popularity,nconst,aggregated_genres
Macha Méril,1940,NA,"actress,producer,soundtrack","tt0073582,tt0089960,tt0058701,tt0061395",5.827261228137292,nm0617736,"Thriller, Comedy, Drama,Sport, Horror,Mystery,Thriller, Drama,History, Comedy,Drama, Comedy,Sci-Fi, Drama,Romance, Drama,Mystery,Thriller, Adventure,Western, Drama,Family, Horror,Thriller, Crime,Thriller, Crime,Drama,Mystery, Comedy,Romance, Biography,Drama,War, Drama, Drama,War, Comedy,Fantasy, Sport, Drama,Thriller"
Aminah Rizq,1910,2003,actress,"tt0342962,tt1527055,tt0376879,tt0273504",5.96534532511411,nm0729780,"Drama,Sci-Fi,Thriller, Drama,Musical,Romance, Biography,History, Drama,Romance,Thriller, Drama,Romance, Comedy,Drama, Mystery, Crime,Drama,Romance, Crime,Drama, Action,Adventure,Drama, Drama, Biography,Drama, Action,Drama,Romance, Drama,History,Romance, Drama,Thriller, Drama,Musical"
Helena Rojo,1944,NA,actress,"tt0068182,tt0081164,tt0179814,tt0211849",6.412496943361208,nm0737928,"Action,Adventure,Biography, Horror, Horror,Mystery,Thriller, Adventure,Drama,History, Drama,Romance, Comedy,Drama, Action,Drama, Drama,Fantasy,Mystery, Drama,Fantasy,Horror, Action,Drama,Western, Adventure,Drama, Crime,Drama,Mystery, Drama, Fantasy,Horror,Mystery, Romance, Drama,Mystery, Drama,Horror,Mystery, Action,Drama,Thriller, Action,Crime,Thriller, Crime,Drama,Music, Drama,Thriller, Drama,History,War"
Andrea Roth,1967,NA,"actress,producer","tt0844479,tt0381798,tt0499556,tt2402101",5.524827271491317,nm0744776,"Thriller, Action,Comedy,Sci-Fi, Horror, Comedy,Drama, Crime,Mystery,Thriller, Drama,Romance, Action,Adventure,Horror, Horror,Sci-Fi, Horror,Thriller, Drama,Family, Comedy,Drama,Family, Crime,Drama, Action,Adventure,Crime, Crime,Drama,Mystery, Action,Adventure,Drama, Drama, Romance, Mystery,Thriller, Action,Crime,Mystery, Fantasy,Horror, Comedy,Fantasy, Action,Drama,Thriller, Sci-Fi"
Rachel Ryan,1961,2020,actress,"tt0100687,tt0145308,tt0146190,tt0146192",5.717549657634738,nm0752796,"Adult,Crime,Mystery, Adult,Romance, Adult, Adult,Drama,Romance, Adult,Comedy"
Zinat Sidqi,1912,1978,actress,"tt0355986,tt0281188,tt0281362,tt0342556",5.45511974545582,nm0781323,"Comedy, Comedy,Crime, Comedy,Drama, Drama,Romance, Drama,Romance,Sport, Musical,Romance, Comedy,Crime,Drama, Comedy,Romance, Drama, Comedy,Musical,Romance, Comedy,Drama,Musical, Comedy,Drama,Romance, Adventure,Comedy, Action,Comedy,Drama, Drama,Thriller, Drama,Musical"
Agnès Soral,1960,NA,"actress,director,producer","tt0089024,tt0076849,tt0086420,tt0167644",5.5604262699856175,nm0814718,"Thriller, Action,Thriller, Drama,Fantasy,Romance, Comedy, Action,Drama,Sci-Fi, Adventure,Drama,History, Comedy,Drama, Comedy,Drama,Fantasy, Comedy,Drama,Family, Crime,Drama,Mystery, Comedy,Romance, Crime,Drama, Drama, Drama,Mystery, Action,Crime, Comedy,Drama,Romance, Drama,Thriller"
Srividya,1953,2006,"actress,producer","tt0230321,tt0154159,tt0101649,tt0259263",6.243052570703503,nm0820286,"Thriller, Action, Comedy, Action,Comedy, Music, Drama,Romance, Comedy,Drama, Action,Drama, Drama,Family, Crime,Drama, Action,Crime,Drama, Action,Romance, Action,Adventure,Drama, Drama, Romance, Comedy,Musical, Action,Drama,Romance, Action,Crime, Comedy,Drama,Romance, Family, Action,Comedy,Drama, Musical"
Liv Ullmann,1938,NA,"actress,director,writer","tt0077711,tt0060827,tt0067919,tt0069467",6.224926921456911,nm0880521,"Drama,Fantasy, Drama,History, Crime,Horror,Thriller, Comedy,Drama, Drama,Romance, Documentary, Drama,Mystery,Thriller, Drama,Fantasy,Horror, Drama,Western, Biography,Drama,History, Action,Crime,Drama, Drama,Music, Comedy,Romance, Drama, Drama,Sport,Thriller, Biography,Drama, Drama,Horror,Mystery, Drama,Thriller, Adventure,Drama,Fantasy"
Gila von Weitershausen,1944,NA,"actress,soundtrack","tt0079996,tt0061625,tt0067778,tt0095386",5.785068798452852,nm0903212,"Thriller, Adventure,Drama,Western, Adventure, Comedy, Action,Comedy,Family, Comedy,Mystery,Thriller, Drama,Romance, Comedy,Drama, Crime,Thriller, Action,Crime,Drama, Drama, Romance, Adventure,Family, Action,Crime, Comedy,Drama,Romance, Comedy,Family, Family, Drama,History,War, Adventure,Drama,Fantasy"
Donatella Finocchiaro,1970,NA,"actress,director,writer","tt1859650,tt1071214,tt0433624,tt0287914",5.613210073393747,nm1006993,"Drama,Mystery,Romance, Action, Comedy, Comedy,Crime, Documentary,Drama, Comedy,Drama, Crime,Drama,Romance, Action,Documentary,Drama, Drama,Romance,Sport, Comedy,Romance, Crime,Drama, Biography,Drama,Music, Drama, Biography,Drama, Drama,History,Romance, Adventure,Drama,Family"
Olivia Colman,1974,NA,"actress,producer,soundtrack","tt9100054,tt3464902,tt5083738,tt1204340",6.660894298928135,nm1469236,"Comedy,Romance,Sport, Comedy, Biography,Comedy,Drama, Drama,Romance,Sci-Fi, Comedy,Drama, Drama,Romance, Documentary, Comedy,Crime,Drama, Biography,Drama,History, Adventure,Animation,Comedy, Crime,Drama,Mystery, Drama, Drama,Mystery, Animation,Comedy,Family, Comedy,Fantasy, Crime,Drama,Musical, Comedy,History, Drama,Thriller, Adventure,Animation,Family"
Shizuka Itou,1980,NA,"actress,music_department,soundtrack","tt0409630,tt3124992,tt0899258,tt4332152",6.158275635261313,nm1778495,"Animation,Crime,Drama, Animation,Drama,Fantasy, Action,Animation,Drama, Action,Animation,Fantasy, Animation, Animation,Comedy,Romance, Animation,Drama,Sci-Fi, Animation,Drama,Sport, Action,Animation,Family, Adventure,Animation,Sci-Fi, Action,Animation,Crime, Action,Adventure,Animation, Animation,Drama,Mystery, Animation,Comedy,Fantasy, Adventure,Animation,Comedy, Animation,Drama,Romance, Action,Animation,Sci-Fi, Animation,Comedy, Animation,Comedy,Drama, Action,Animation,Comedy, Animation,Fantasy,Romance, Adventure,Animation,Fantasy"
Farha Naaz,1968,NA,"actress,director","tt0092888,tt0173301,tt0243355,tt1297447",4.885046487292065,nm2226774,"Action,Thriller, Crime, Horror,Mystery,Thriller, Comedy,Drama, Action,Drama, Drama,Romance, Crime,Mystery,Thriller, Action,Drama,Family, Action,Crime,Drama, Action,Adventure,Drama, Drama, Action,Adventure,Thriller, Drama,Mystery, Action,Crime, Family, Action,Comedy,Drama, Action,Mystery,Thriller"
Aki Toyosaki,1986,NA,"actress,music_department,soundtrack","tt3225270,tt1410218,tt6755926,tt1909796",6.110209113767643,nm2760504,"Animation,Drama,Fantasy, Adventure,Animation,Drama, Action,Animation,Fantasy, Animation, Animation,Comedy,Romance, Action,Adventure,Animation, Animation,Comedy,Fantasy, Adventure,Animation,Comedy, Animation,Comedy,Family, Action,Animation,Sci-Fi, Animation,Comedy, Action,Animation,Comedy, Adventure,Animation,Fantasy, Animation,Comedy,Drama, Animation,Fantasy,Romance, Adventure,Animation,Family"
Jigna Bhardwaj,NA,NA,actress,"tt10288820,tt6417984,tt12934616",6.400016942866033,nm5598807,"Animation, Action,Animation, Action,Adventure,Animation, Adventure,Animation,Fantasy"
Akari Kitô,1994,NA,"actress,music_department,soundtrack","tt11032374,tt10777610,tt15533674,tt12311976",6.050831162470944,nm6981978,"Action,Animation,Fantasy, Animation, Animation,Sport, Animation,Comedy,Romance, Animation,Drama,Sci-Fi, Animation,Drama,Sport, Action,Animation, Action,Animation,Crime, Action,Adventure,Animation, Animation,Comedy,Music, Animation,Comedy,Fantasy, Animation,Drama,Thriller, Animation,Drama,Romance, Animation,Comedy, Animation,Drama,Music, Animation,Fantasy,Mystery, Action,Animation,Comedy, Animation,Comedy,Drama, Animation,Romance,Short, Animation,Fantasy,Music"
Bette Davis,1908,1989,"actress,soundtrack,make_up_department","tt0056687,tt0042192,tt0035140,tt0031210",6.117655769518475,nm0000012,"Crime,Drama,Thriller, Comedy, Crime,Mystery,Romance, Adventure,Crime,Thriller, Drama,Horror,Thriller, Crime,Drama,Film-Noir, Crime,Mystery,Thriller, Comedy,Drama, Drama,Romance, Family,Horror,Mystery, Drama,Film-Noir, Comedy,Drama,Thriller, Biography,Drama,History, Crime,Drama,Mystery, Drama, Biography,Drama, Drama,Horror,Mystery, Mystery,Thriller, Comedy,Fantasy, Adventure,Family,Fantasy, Comedy,Drama,Romance"
Kirsten Dunst,1982,NA,"actress,producer,soundtrack","tt0110367,tt0145487,tt1527186,tt0110148",6.133826391508279,nm0000379,"Crime,Drama,Thriller, Adventure,Comedy,Family, Comedy, Drama,Romance,War, Crime,Mystery,Romance, Biography,Comedy,Drama, Drama,Mystery,Sci-Fi, Action,Adventure,Comedy, Crime,Drama, Crime,Drama,Mystery, Drama,Fantasy,War, Adventure,Animation,Family, Comedy,Romance,Sport, Drama,Fantasy,Romance, Drama,Family,Romance, Action,Crime,Fantasy, Drama,History, Crime,Drama,Romance, Drama,Romance, Drama,Fantasy,Mystery, Drama,Fantasy,Horror, Drama,Western, Comedy,Romance,Thriller, Animation,Family,Fantasy, Drama,History,Thriller, Biography,Drama,History, Comedy,Romance, Action,Adventure,Sci-Fi, Drama, Drama,Sci-Fi, Comedy,Drama,Romance, Adventure,Drama,Family"
Jennifer Jason Leigh,1962,NA,"actress,producer,soundtrack","tt0108122,tt0109642,tt0105414,tt3460252",6.05853872097295,nm0000492,"Drama,Mystery,Romance, Crime,Drama,Thriller, Comedy, Drama,Horror,Thriller, Comedy,Drama, Horror,Mystery,Sci-Fi, Comedy,Drama,Fantasy, Comedy,Crime,Drama, Horror,Thriller, Fantasy,Romance, Crime,Drama, Crime,Drama,Mystery, Crime,Drama,Fantasy, Adventure,Drama,Horror, Action,Mystery,Thriller, Adventure,Drama,Mystery, Drama,Romance, Comedy,Mystery, Biography,Drama,History, Adventure,Drama, Action,Crime,Drama, Drama,Music, Drama, Biography,Drama, Mystery,Thriller, Crime,Drama,Music, Comedy,Drama,Romance, Drama,Thriller,Western, Drama,Thriller, Animation,Comedy,Drama"
Kate Winslet,1975,NA,"actress,producer,soundtrack","tt0959337,tt0338013,tt0120338,tt0114388",6.360455835749098,nm0000701,"Drama,Mystery,Romance, Comedy, Animation,Family, Adventure,Family,Sci-Fi, Biography,Drama,Romance, Comedy,Drama, Documentary, Comedy,Drama,Family, Adventure,Animation,Comedy, Crime,Drama,Mystery, Comedy,Musical,Romance, Drama,Family,Fantasy, Adventure,Drama,Romance, Adventure,Animation,Family, Biography,Drama,Family, Drama,Romance,Sci-Fi, Drama,Romance,Thriller, Drama,Romance, Action,Adventure,Animation, Animation,Family,Fantasy, Drama,Family, Biography,Drama,History, Comedy,Drama,Western, Comedy,Romance, Action,Adventure,Sci-Fi, Drama, Biography,Drama, Biography,Crime,Drama, Action,Adventure,Mystery, Adventure,Documentary,Family, Drama,Thriller"
Toni Collette,1972,NA,"actress,producer,soundtrack","tt0276751,tt0167404,tt0274558,tt7784604",6.109860055469944,nm0001057,"Comedy,Fantasy,Horror, Action,Thriller, Crime,Drama,Thriller, Comedy,Crime,Music, Comedy, Biography,Comedy,Drama, Comedy,Crime, Comedy,Drama, Drama,Mystery,Thriller, Comedy,Drama,Family, Crime,Drama, Crime,Drama,Mystery, Adventure,Sci-Fi,Thriller, Drama,Horror,Mystery, Adventure,Documentary, Comedy,Horror, Adventure,Animation,Family, Crime,Horror,Mystery, Drama,Romance, Action,Adventure,Animation, Crime,Drama,Horror, Drama,Fantasy,Sci-Fi, Comedy,Romance, Drama,Music, Drama, Comedy,Drama,Music, Action,Comedy,Crime, Biography,Crime,Drama, Comedy,Drama,Romance, Drama,Thriller, Animation,Comedy,Drama"
Yvonne De Carlo,1922,2007,"actress,soundtrack","tt0049833,tt0050166,tt0060726,tt0042287",5.097103060240059,nm0001119,"Comedy,Family,Music, Comedy,Crime,Family, Romance,Western, Crime,Drama,Thriller, Comedy,Crime,Horror, Adventure,Comedy,Family, Comedy, Horror, Drama,Romance,Western, Drama,Horror, Sci-Fi,Thriller, Crime,Drama,Film-Noir, Western, Musical,Romance, Horror,Thriller, Action,Adventure,Drama, Fantasy,Horror, Drama,History,Romance, Comedy,Western, Comedy,Horror, Comedy,Family,Fantasy, Horror,Mystery,Thriller, Adventure,Western, Drama,Western, Adventure,Drama, Action,Adventure,Romance, Comedy,Romance,War, Biography,Drama,Music, Drama, Drama,Thriller"
Queen Latifah,1970,NA,"actress,producer,music_department","tt0299658,tt0305669,tt0427327,tt0316732",5.73594995292882,nm0001451,"Action, Comedy,Family,Fantasy, Comedy,Romance,Sport, Comedy, Comedy,Crime,Thriller, Comedy,Drama,Sport, Action,Comedy,Music, Adventure,Comedy,Drama, Comedy,Drama, Documentary, Comedy,Drama,Fantasy, Documentary,Family, Adventure,Animation,Comedy, Action,Crime,Drama, Crime,Drama,Mystery, Biography,Drama,Music, Drama, Action,Comedy,Crime, Comedy,Drama,Music, Drama,Music,Musical, Comedy,Drama,Musical, Comedy,Drama,Romance, Family"
June Foray,1917,2017,"actress,miscellaneous,soundtrack","tt0052507,tt0131704,tt0120762,tt0096438",6.552434359865512,nm0004931,"Animation,Comedy,Crime, Comedy, Animation,Family, Animation, Animation,Drama,Family, Animation,Family,Short, Action,Adventure,Animation, Animation,Family,Fantasy, Adventure,Animation,Comedy, Animation,Comedy,Family, Animation,Comedy, Animation,Comedy,Sci-Fi, Comedy,Family, Family, Action,Animation,Comedy, Adventure,Animation,Family"
Elisabeth Moss,1982,NA,"actress,producer,director","tt2756032,tt5834204,tt6857112,tt1051906",5.872490512574546,nm0005253,"Drama,Sci-Fi,Thriller, Drama,Mystery,Romance, Horror, Biography,Drama,Horror, Comedy,Music, Drama,Horror,Thriller, Horror,Mystery,Thriller, Comedy,Drama, Drama,Romance, Drama,Mystery,Thriller, Comedy,Drama,Fantasy, Horror,Thriller, Biography,Drama,History, Comedy,Thriller, Crime,Drama,Mystery, Action,Crime,Drama, Drama,Music, Drama, Romance, Drama,Horror,Mystery, Biography,Drama,Sport, Adventure,Family,Fantasy, Comedy,Drama,Romance"
Suhasini,1961,NA,"actress,writer,producer","tt0307202,tt0235617,tt0121401,tt0250761",6.423234681509859,nm0007124,"Thriller, Action,Family, Crime, Comedy, Comedy,Drama, Musical,Romance, Horror,Sci-Fi,Thriller, Action,Drama,Family, Comedy,Drama,Family, Romance, Drama,Mystery, Action,Drama,Romance, Action,Drama,Thriller, Action,Comedy,Drama, Drama,Musical,Romance, Drama,Sport, Drama,Romance, Action,Drama, Comedy,Mystery, Drama,Family, Biography,Drama,History, Family,Musical, Comedy,Romance, Action,Crime,Drama, Drama, Action,Crime,Romance, Comedy,Drama,Romance, Family, Comedy,Family"
Amy Adams,1974,NA,"actress,producer,soundtrack","tt0964517,tt0461770,tt2543164,tt1560747",6.233361972045827,nm0010736,"Comedy, Adventure,Comedy,Family, Drama,Sport, Biography,Comedy,Drama, Drama,Romance,Sci-Fi, Drama,History, Drama,Mystery,Sci-Fi, Biography,Drama,Romance, Comedy,Drama, Action,Adventure,Comedy, Adventure,Animation,Comedy, Crime,Drama, Comedy,Romance, Crime,Drama,Mystery, Action,Adventure,Sci-Fi, Drama, Drama,Mystery, Action,Adventure,Fantasy, Biography,Crime,Drama, Action,Biography,Drama, Comedy,Drama,Romance, Drama,Thriller, Drama,Musical, Adventure,Drama,Romance"
Ariane Ascaride,1954,NA,"actress,director,writer","tt0119620,tt0234988,tt0491901,tt9584814",5.591093796283841,nm0038449,"Crime,Drama,Thriller, Comedy,Romance, Crime,Drama,Mystery, Comedy, Drama, Comedy,Drama,Sport, Animation, Comedy,Drama, Comedy,Drama,Romance, Drama,Romance"
Karin Dor,1938,2017,"actress,soundtrack","tt0056305,tt0060749,tt0062512,tt0065112",5.396916994365766,nm0233312,"Adventure,Crime,Musical, Crime,Drama,Thriller, Adventure,Drama,Western, Comedy,Crime,Music, Comedy, Horror, Horror,Mystery, Comedy,Music, Drama,History, Drama,Romance, Western, Adventure,Western, Horror,Sci-Fi, Crime,Drama,Horror, Drama,Family, Comedy,Crime,Drama, Crime,Drama, Crime,Drama,Mystery, Action,Adventure,Crime, Action,Crime,Drama, Drama, Mystery,Thriller, Comedy,Musical,Romance, Drama,Thriller, Action,Adventure,War, Crime,Horror,Mystery"
Kim Mi-kyung,1960,NA,actress,"tt3184674,tt4284216,tt11052808,tt2025506",6.387140160362698,nm0453605,"Comedy,Fantasy,Horror, Comedy,Fantasy,Romance, Drama,Mystery,Romance, Drama,Fantasy,History, Comedy, Horror,Mystery, Drama,Fantasy, Drama,Romance, Comedy,Drama, Comedy,Drama,Fantasy, Drama,History,Thriller, Comedy,Romance, Action,Romance, Drama, Comedy,Drama,Music, Action,Comedy,Crime, Romance, Drama,Mystery, Action,Drama,Romance, Comedy,Drama,Romance"
Satomi Kôrogi,1966,NA,"actress,music_department,soundtrack","tt0190641,tt0205410,tt0243558,tt0851578",6.26575724527527,nm0465631,"Animation,Comedy,Crime, Action,Animation,Drama, Animation,History, Adventure,Animation,Drama, Animation,Comedy,Horror, Animation, Animation,Comedy,Romance, Animation,Drama,Sci-Fi, Animation,Romance, Action,Adventure,Animation, Animation,Family,Fantasy, Adventure,Animation,Comedy, Animation,Comedy,Family, Animation,Comedy, Adventure,Animation,Romance"
Gina Lollobrigida,1927,2023,"actress,soundtrack,director","tt0062767,tt0054759,tt0053290,tt0050781",5.434218162422653,nm0518178,"Adventure,Comedy,Romance, Crime,Drama,Thriller, Adventure, Comedy, Comedy,Fantasy,Music, Comedy,Romance,Western, Comedy,Crime, Comedy,Drama, Drama,Romance, Drama,History,Horror, Comedy,Crime,Drama, Horror,Thriller, Action,Adventure,Comedy, Adventure,Biography,Drama, Comedy,Romance, Crime,Drama, Biography,Drama,Music, Drama, Drama,War, Drama,History,Romance, Comedy,Drama,Romance, Adventure,Drama,Romance"
Doon Mackichan,1962,NA,"actress,writer,soundtrack","tt0108740,tt0111985,tt0195275,tt2731624",6.449144871343198,nm0533489,"Comedy,Family,Fantasy, Comedy, Drama, Animation,Comedy,Romance, Comedy,Fantasy, Animation,Comedy, Comedy,History, Comedy,Drama, Documentary, Adventure,Comedy"
Dana Medrická,1920,1983,actress,"tt0168452,tt1946559,tt0260447,tt0125301",6.05512806611885,nm0575905,"Crime, Comedy, Drama,History, Comedy,Crime, Drama,Romance, Comedy,Sci-Fi, Family,Fantasy,Romance, Drama,Family, Drama,Music,Thriller, Crime,Drama, Drama, Comedy,Family,Romance, Biography,Drama, Family, Comedy,Family, Sci-Fi"
Barbara Moose,NA,NA,actress,"tt0282461,tt1389499,tt0080794,tt1184986",4.847527230900474,nm0602167,"Fantasy,Sci-Fi, Comedy, Drama, Adult,Comedy,Fantasy, Adult,Drama,War, Comedy,Drama, Adult, Adult,Drama, Adult,Comedy"
Isabelle Nanty,1962,NA,"actress,writer,director","tt0211915,tt0108500,tt0356999,tt0353243",5.485638407270747,nm0620964,"Comedy, Biography,Comedy,Drama, Comedy,Drama, Comedy,Sci-Fi, Documentary, Animation,Family,Fantasy, Comedy,Drama,Family, Comedy,Romance, Crime,Drama, Drama, Comedy,Musical, Comedy,Musical,Romance, Comedy,Sport, Comedy,Drama,Romance, Comedy,Family, Crime,Mystery"
Elizabeth Oropesa,NA,NA,"actress,soundtrack","tt0097404,tt0260769,tt0343956,tt5651436",6.347521640310164,nm0650394,"Action, Crime,Drama,Thriller, Comedy, Horror, Drama,Romance, Crime,Drama,Romance, Comedy,Drama, Crime,Drama,Mystery, Comedy,Romance, Crime,Drama, Action,Adventure,Crime, Drama, Action,Adventure,Fantasy, Action,Drama,Romance, Fantasy,Horror, Drama,Thriller, Drama,History,Sci-Fi, Sci-Fi"
Sandhya Roy,1941,NA,actress,"tt0237260,tt0237499,tt0290448,tt1275692",6.572538844065934,nm0747178,"Drama,Musical,Romance, Drama, Horror, Romance, Drama,Family,Musical, Drama,Family,Fantasy, Drama,Family, Drama,Family,Music"
Amrita Singh,1958,NA,actress,"tt2372678,tt8130968,tt1486317,tt0811066",5.370593056141052,nm0802080,"Action,Thriller, Action, Horror, Action,Fantasy,Horror, Crime,Drama,Romance, Action,Drama, Drama,Romance, Biography,Drama,History, Action,Crime,Drama, Crime,Drama, Action,Romance, Action,Adventure,Drama, Drama, Crime,Drama,Mystery, Action,Drama,Romance, Comedy,Fantasy, Comedy,Musical,Romance, Action,Drama,Thriller, Action,Crime, Comedy,Drama,Romance, Action,Comedy,Drama"
Silk Smitha,1960,1996,"actress,producer","tt0353658,tt4445486,tt0245998,tt0245995",5.950802385412368,nm0810426,"Action, Crime, Romance,Thriller, Adventure,Comedy,Sci-Fi, Horror, Adventure,Fantasy,Thriller, Comedy,Drama, Action,Drama, Drama,Romance, Action,Comedy,Romance, Action,Crime,Drama, Action,Romance, Drama, Action,Adventure,Fantasy, Crime,Drama,Music, Action,Crime,Thriller, Comedy,Family, Action,Comedy,Drama, Musical"
Marianne Sägebrecht,1945,NA,"actress,writer,soundtrack","tt0100115,tt0095801,tt0133385,tt0098621",5.4535116894868185,nm0845270,"Comedy, Family,Fantasy, Comedy,Crime, Comedy,Drama, Drama,Family, Biography,Drama,History, Comedy,Drama,Family, Adventure,Animation,Comedy, Comedy,Romance, Drama, Animation,Comedy,Family, Comedy,Fantasy, Comedy,Drama,Romance, Adventure,Drama,Family"
