primaryName,birthYear,deathYear,primaryProfession,knownForTitles,average_popularity,nconst,aggregated_genres
Barry Mahon,1921,1999,"director,producer,writer","tt0054154,tt0065223,tt0312977,tt0147299",4.487584034837212,nm0537069,"Thriller, Crime,Drama,Thriller, Adventure, Comedy, Family,Fantasy, Horror, Action,Adventure, Adventure,Fantasy,Horror, Drama,Romance, Animation,Family,Fantasy, Horror,Thriller, Adventure,Drama, Crime,Drama, Family,Fantasy,Musical, Drama, Documentary,Music, Biography,Drama, Comedy,Drama,Romance, Comedy,Horror"
Kenji Misumi,1921,1975,"director,assistant_director,writer","tt0056714,tt0081506,tt0123129,tt0164983",5.96775769115715,nm0593014,"Adventure,Drama, Adventure,Biography,Drama, Action, Action,Crime,Drama, Action,Adventure,Drama, Drama, Horror, Drama,Mystery, Action,Adventure, Drama,Fantasy, Drama,Romance, Action,Drama"
Daniel Petrie,1920,2004,"director,producer,actor","tt0081414,tt0055353,tt0086942,tt0118648",5.741462203545163,nm0677951,"Thriller, Comedy, Comedy,Drama,Sport, Drama,Fantasy, Crime,Drama,Romance, Drama,Romance, Adventure,Comedy,Mystery, Drama,Western, Horror,Thriller, Crime,Drama, Action,Adventure,Drama, Drama, Biography,Drama, Adventure,Family, Action,Drama,Thriller"
Johnnie To,1955,NA,"director,producer,writer","tt0796212,tt2165735,tt0434008,tt0969269",5.6625600296302725,nm0864775,"Comedy,Fantasy,Romance, Action, Crime,Drama,Thriller, Crime, Comedy, Drama,Romance,War, Comedy,Drama, Crime,Thriller, Crime,Drama, Action,Romance, Romance, Action,Crime,Mystery, Comedy,Musical,Romance, Action,Drama,Thriller, Action,Crime,Thriller, Comedy,Crime,Fantasy, Comedy,Crime,Romance, Action,Fantasy,Thriller, Drama,Romance, Action,Drama, Action,Drama,History, Action,Crime,Drama, Comedy,Romance, Action,Sci-Fi,Thriller, Action,Mystery, Drama, Action,Comedy,Crime, Comedy,Fantasy, Comedy,Drama,Romance, Crime,Mystery"
Robert Wise,1914,2005,"director,producer,editor","tt0055614,tt0059742,tt0066769,tt0079945",5.95664435869041,nm0936404,"Action,Drama,War, Crime,Drama,Thriller, Biography,Drama,Family, War,Western, Adventure,Drama,War, Comedy, Drama,Romance,Western, Biography,Comedy,Drama, Drama,Romance,War, Horror, Mystery,Sci-Fi,Thriller, Adventure,Drama,History, Crime,Drama,Film-Noir, Drama,Romance, Drama,Fantasy,Horror, Crime,Drama,Mystery, Action,Crime,Drama, Comedy,Romance, Action,Adventure,Drama, Drama, Biography,Drama,Sport, Adventure,Mystery,Sci-Fi, Biography,Crime,Drama, Crime,Drama,Musical, Drama,Sci-Fi, Drama,History,Romance, Adventure,Drama,Romance"
Blake Edwards,1922,2010,"writer,producer,director","tt0051301,tt0084865,tt0075066,tt0072081",5.939501062770338,nm0001175,"Crime,Drama,Thriller, Comedy, Comedy,Music,Romance, Comedy,Crime, Comedy,Drama, Mystery, Comedy,War, Comedy,Crime,Drama, Action,Adventure,Comedy, Crime,Drama, Crime,Drama,Mystery, Comedy,Drama,Musical, Comedy,Crime,Romance, Comedy,Music, Drama,Romance,Thriller, Music, Crime,Mystery,Thriller, Comedy,Mystery, Drama,Western, Animation,Comedy,Music, Comedy,Romance,War, Comedy,Romance, Biography,Documentary, Drama, Action,Comedy,Crime, Comedy,Musical, Comedy,Fantasy, Comedy,Drama,Romance, Comedy,Crime,Mystery"
Xaver Schwarzenberger,1946,NA,"cinematographer,director,camera_department","tt0089753,tt0087163,tt0086368,tt0161159",5.425133966534245,nm0005866,"Thriller, Biography,Drama,History, Comedy,Romance, Crime, Comedy, Drama, Comedy,Crime, Drama,Romance, Comedy,Drama,Romance, Comedy,Family, Drama,Family, Drama,History,War"
Mauro Bolognini,1922,2001,"director,writer,assistant_director","tt0055432,tt0061933,tt0053643,tt0093571",5.5530124592932895,nm0006615,"Crime,Drama,History, Comedy, Drama,History, Drama,Romance, Comedy,Drama, Documentary, Crime,Drama,Horror, Action,Adventure,Romance, Crime,Drama, Comedy,Romance, Drama, Biography,Drama, Comedy,Musical, Comedy,Drama,Romance"
Fernando Cortés,1908,1979,"director,writer,actor","tt0242026,tt0311375,tt0321614,tt0257508",5.725022601170013,nm0181530,"Adventure,Comedy,Romance, Comedy,Fantasy,Romance, Comedy, Comedy,Music, Comedy,Fantasy,Sport, Adventure,Comedy,Drama, Comedy,Crime, Comedy,Fantasy,Musical, Comedy,Drama, Comedy,Drama,Fantasy, Comedy,Crime,Drama, Action,Drama,Western, Horror,Sci-Fi, Comedy,Family,Horror, Action,Adventure,Comedy, Comedy,Drama,Family, Comedy,Romance, Drama,Music, Comedy,Musical, Comedy,Fantasy, Crime,Drama,Musical, Comedy,Fantasy,Sci-Fi, Comedy,Drama,Musical, Comedy,Family, Action,Comedy,Drama"
Hans Deppe,1897,1969,"director,actor,producer","tt0045862,tt0048485,tt0030496,tt0049775",6.115032987132162,nm0220131,"Comedy,Romance, Drama,Music, Crime, Comedy, Drama, Romance, Comedy,Music,Romance, Comedy,Musical,Romance, Drama,Romance, Comedy,Drama,Romance, Music,Romance, Drama,Musical, Musical"
Frantisek Filip,1930,2021,"director,writer","tt0187570,tt0249315,tt7907414,tt0059289",6.115028822941229,nm0277001,"Biography,Comedy,History, Comedy,Romance, Comedy, Drama, Drama,War, Comedy,Crime, Drama,Romance, Comedy,Drama, Comedy,Crime,Drama"
John Gilling,1912,1984,"director,writer,assistant_director","tt0056350,tt0049248,tt0044931,tt0063893",5.066153625813266,nm0319241,"Crime,Drama,Thriller, Adventure, Drama,Horror,Sci-Fi, Comedy, Crime,Mystery,Romance, Horror, Action,Adventure, Horror,Mystery,Thriller, Adventure,Drama,History, Crime,Drama,Film-Noir, Horror,Sci-Fi, Adventure,History, Adventure,Drama, Crime,Thriller, Adventure,Crime,Drama, Crime,Drama, Action,Crime,Drama, Action,Adventure,Drama, Drama, Drama,War, Comedy,Horror"
Jack Gold,1930,2015,"director,producer,miscellaneous","tt0070436,tt0074849,tt0075627,tt0793509",6.124248700696947,nm0324995,"Thriller, Drama,Family,War, Action,Drama,War, Drama,Family,Romance, Comedy, Biography,Comedy,Drama, Mystery,Sci-Fi,Thriller, Drama,History, Adventure,Comedy,Drama, Comedy,Drama, Crime,Drama,Romance, Crime,Drama, Biography,Documentary, Crime,Drama,Mystery, Drama, Drama,War, Drama,Mystery, Biography,Drama, Adventure,Drama,Romance, Drama,History,War"
David Greene,1921,2003,"director,producer,actor","tt0831400,tt0070121,tt0075572,tt0074048",5.65094859906735,nm0338719,"Thriller, Crime,Drama,Thriller, Comedy, Horror, Adventure,Crime,Thriller, Drama,Romance,Thriller, Drama,History, Adventure,Drama,History, Mystery, Drama,Mystery,Thriller, Drama,Family, Comedy,Thriller, Crime,Thriller, Crime,Drama, Crime,Drama,Mystery, Action,Crime,Drama, Biography,Drama,Music, Drama, Drama,War, Action,Mystery, Action,Adventure,Thriller, Biography,Drama, Mystery,Thriller, Drama,Sci-Fi, Comedy,Drama,Musical, Comedy,Drama,Romance, Drama,Thriller"
Jerry Jameson,1934,NA,"editorial_department,director,producer","tt0062589,tt0075648,tt0081400,tt0127637",5.260213383738014,nm0417054,"Action,Thriller, Crime,Drama,Thriller, Adventure, Drama,Family,Romance, Comedy, Drama,Horror,Thriller, Sci-Fi,Thriller, Action,Biography,Crime, Action,Drama, Western, Comedy,Mystery, Horror,Romance, Drama,Western, Adventure,Drama, Crime,Drama,Sport, Crime,Drama, Action,Crime,Drama, Biography,Drama,Music, Drama, Action,Adventure,Drama, Drama,Sci-Fi, Action,Drama,Thriller, Drama,Thriller"
Andrew V. McLaglen,1920,2014,"director,assistant_director,producer","tt0078492,tt0063060,tt0067109,tt0065150",5.370327508123695,nm0572132,"Action,Drama,War, Adventure,Drama,Western, Action,War, Adventure, Drama,Romance,Western, Crime,Drama,Film-Noir, Western, Drama,Mystery,Sport, Drama,Western, Biography,Drama,Western, Comedy,Drama,Thriller, Adventure,Drama, Action,Crime,Drama, Action,Adventure,Crime, Action,Adventure,Drama, Drama, Drama,War, Action,Adventure,Thriller, Drama,History,Romance, Drama,War,Western, Comedy,Family, Action,History,War, Comedy,Western, Family,Sci-Fi"
Puri Jagannadh,1966,NA,"writer,director,producer","tt4435072,tt0816258,tt2071613,tt4442758",5.758153098738276,nm0700872,"Action,Comedy,Fantasy, Action,Thriller, Action, Action,Comedy, Action,Romance,Thriller, Drama,Romance, Action,Drama, Action,Crime,Sci-Fi, Action,Comedy,Romance, Action,Crime,Drama, Action,Romance, Drama, Action,Comedy,Crime, Romance, Action,Drama,Romance, Action,Crime,Thriller, Comedy,Drama,Romance, Action,Drama,Sport"
Kodi Ramakrishna,1949,2019,"director,writer,actor","tt0248051,tt1361809,tt0779747,tt0239341",6.445068654269147,nm0707952,"Action,Thriller, Action, Action,Family, Comedy, Action,Family,Musical, Drama,Fantasy, Horror,Mystery,Thriller, Biography, Drama,Romance, Action,Drama, Mystery, Action,Drama,Fantasy, Fantasy,Romance, Fantasy, Comedy,Romance, Action,Romance, Action,Adventure,Drama, Drama, Romance, Comedy,Drama,Romance, Family, Action,Comedy,Drama, Fantasy,Thriller"
Bobby Roth,1950,NA,"director,producer,writer","tt5246438,tt0087397,tt0455275,tt12325668",5.1329216523521755,nm0744794,"Thriller, Drama,Sport, Action,Romance,Sci-Fi, Drama,Horror,Thriller, Crime,Mystery,Thriller, Drama,Romance, Comedy,Drama, Drama,Family, Drama,Family,Music, Adventure,Drama, Crime,Drama, Biography,Drama,Music, Drama, Comedy,Drama,Music, Biography,Drama, Action,Drama,Thriller, Action,Crime,Thriller, Drama,Thriller"
Chito S. Roño,NA,NA,"director,writer,miscellaneous","tt1663336,tt0185910,tt8856040,tt0325233",6.077568250894542,nm0747689,"Action,Drama,War, Crime,Drama,Thriller, Horror, Drama,Horror,Thriller, Action,Fantasy,Horror, Horror,Mystery,Thriller, Crime,Drama,Romance, Drama,Romance, Comedy,Drama, Drama,Fantasy,Horror, Comedy,Drama,Fantasy, Horror,Thriller, Action,Adventure,Comedy, Crime,Drama,Family, Drama, Action,Adventure,Fantasy, Fantasy,Horror, Action,Biography,Drama, Action,Drama,Thriller, Comedy,Drama,Romance, Drama,Musical, Musical, Comedy,Horror"
Masahiro Shinoda,1931,NA,"director,writer,visual_effects","tt0064975,tt0067755,tt0275362,tt0076124",5.771011432731792,nm0793983,"Comedy,Drama,War, Drama,Fantasy,History, Drama,History, Drama,Romance, Comedy,Drama, Action,Drama, Drama,Fantasy,Horror, Biography,Drama,History, Fantasy,Romance, Crime,Drama, Action,Crime,Drama, Drama, Drama,Mystery, Documentary,Sport, Drama,Horror,Mystery, Action,Drama,Thriller, Action,Crime"
Peter Sullivan,NA,NA,"producer,writer,director","tt9419834,tt6998122,tt7369722,tt4180032",4.879196687753867,nm0838289,"Thriller, Comedy,Drama,Mystery, Crime,Drama,Thriller, Drama,Mystery,Romance, Fantasy,Horror,Thriller, Comedy, Horror, Drama,Romance, Action,Drama, Drama,Mystery,Thriller, Mystery, Family,Romance, Horror,Thriller, Comedy,Drama,Family, Comedy,Romance, Crime,Drama,Mystery, Action,Adventure,Drama, Drama, Drama,Mystery, Comedy,Family,Romance, Comedy,Fantasy, Comedy,Drama,Romance, Drama,Thriller, Drama,Music,Romance, Comedy,Crime,Mystery"
Roger Corman,1926,NA,"producer,director,actor","tt0091419,tt0061189,tt0102926,tt0099612",5.38051372797573,nm0000339,"Comedy,Fantasy,Horror, Action,Drama,Music, Crime,Drama,Thriller, Comedy,Drama,Sci-Fi, Action,War, Crime,Drama,History, Comedy,Crime,Horror, Horror, Drama,Horror,Thriller, Drama,Horror, Action,Drama,Sci-Fi, Crime,Drama,Film-Noir, Action,Biography,Crime, Western, Horror,Sci-Fi,Thriller, Horror,Thriller, Crime,Drama, Action,Adventure,Drama, Drama,Horror,Mystery, Fantasy,Horror, Action,Drama,Thriller, Comedy,Horror, Adventure, Drama,Horror,Sci-Fi, Action,Drama, Drama,History,Horror, Drama,Western, Action,Drama,History, Horror,Sci-Fi, Action,Drama,Western, Biography,Drama,History, Adventure,Crime,Drama, Action,Adventure,Sci-Fi, Drama, Comedy,Horror,Mystery, Mystery,Thriller, Action,Adventure,Fantasy, Action,Biography,Drama, Adventure,Sci-Fi, Crime,Drama,Music"
Éric Rohmer,1920,2010,"director,writer,actor","tt0064612,tt0065772,tt0137439,tt0086087",5.904322244792235,nm0006445,"Comedy,Romance, Drama, Drama,History, Drama,History,Romance, Documentary,History, Comedy,Drama, Comedy,Drama,Romance, Documentary, Drama,Romance, Drama,Thriller, Drama,Music,Romance"
Tulio Demicheli,1914,1992,"writer,director,producer","tt0040292,tt0187005,tt0200523,tt0049306",5.582517311610409,nm0210322,"Thriller, Crime,Drama,Thriller, Crime, Comedy, Crime,Mystery,Romance, Action,Adventure, Drama,Romance, Crime,Drama,Romance, Drama,Mystery,Thriller, Western, Comedy,Drama, Drama,Western, Horror,Sci-Fi, Action,Crime,Drama, Crime,Drama, Drama, Drama,Mystery, Comedy,Musical, Comedy,Fantasy, Action,Adventure,History, Adventure,Family, Adventure,Comedy, Drama,Thriller, Comedy,Western"
Orhan Elmas,1927,2002,"director,writer,actor","tt0433956,tt0470629,tt0369292,tt0345209",5.17003877912664,nm0255386,"Crime,Drama,Thriller, Adventure, Comedy, Drama,Romance,Thriller, Drama,Romance, Action,Drama, Comedy,Drama, Crime,Drama,Romance, Drama,Family, Adventure,Drama, Adventure,Crime,Drama, Crime,Drama, Comedy,Romance, Drama, Romance, Action,Drama,Romance, Action,Crime, Comedy,Drama,Romance, Drama,Music,Romance, Adventure,Drama,Romance"
Sigi Rothemund,1944,NA,"director,writer,assistant_director","tt0117931,tt0081879,tt0082911,tt0122732",5.425014458245377,nm0351486,"Thriller, Action,Thriller, Action, Adventure, Comedy, Action,Comedy, Comedy,Music,Romance, Action,Crime,Sport, Comedy,Crime, Drama,Family, Comedy,Crime,Drama, Crime,Thriller, Adventure,Romance, Comedy,Romance, Crime,Drama, Drama, Comedy,Drama,Romance, Drama,Thriller"
Masahiro Makino,1908,1993,"director,actor,producer","tt0352671,tt0020342,tt0164706,tt0360944",5.717519580521786,nm0538632,"Biography,Drama,History, Adventure,Drama, Crime, Action,Adventure,Drama, Drama, Comedy, Action,Adventure, Drama,History, Action,Crime, Action,Drama"
Don McBrearty,NA,NA,"director,producer,writer","tt0098900,tt0088591,tt0429422,tt1091909",5.6278571760128,nm0564260,"Comedy,Fantasy,Romance, Biography,Drama,Family, Drama,Fantasy,Romance, Comedy, Drama,History, Crime,Horror,Thriller, Drama,Romance, Comedy,Sci-Fi, Drama,Mystery,Thriller, Family,Romance, Drama,Family, Comedy,Drama,Family, Action,Crime,Drama, Comedy,Romance, Mystery,Romance, Drama, Romance, Biography,Drama, Drama,Sci-Fi, Crime,Drama,Fantasy, Comedy,Drama,Romance, Adventure,Drama,Family, Drama,Thriller, Drama,Family,Mystery"
John Olden,1918,1965,"director,producer,writer","tt0140280,tt4849812,tt0059986,tt0053834",7.347738334947823,nm0646090,"Thriller, Crime,Drama, Crime, Comedy, Drama, Comedy,Music, Drama,History, Music, Comedy,Drama, Musical"
K. Bapaiah,NA,NA,"director,writer,assistant_director","tt0154118,tt0096139,tt0112876,tt0099869",5.380022159824524,nm0052630,"Crime,Romance,Thriller, Action, Drama,Fantasy, Drama,Romance, Action,Drama, Comedy,Drama, Drama,Family, Action,Drama,Family, Action,Crime,Drama, Drama, Action,Comedy,Crime, Romance, Action,Drama,Romance, Action,Drama,Thriller, Action,Crime,Thriller, Action,Crime, Action,Comedy,Drama"
Basu Chatterjee,1930,2020,"director,writer,producer","tt0064935,tt0157882,tt0152720,tt0072064",6.093437504283694,nm0154113,"Crime,Drama,Thriller, Drama,Family,Romance, Comedy, Comedy,Crime, Drama,Romance, Comedy,Drama, Musical,Romance, Drama,Family, Comedy,Drama,Family, Comedy,Romance, Drama, Romance, Drama,Family,Musical, Comedy,Musical,Romance, Comedy,Drama,Romance, Action,Mystery,Thriller"
Terry Ingram,NA,NA,"director,assistant_director,producer","tt0366551,tt0945580,tt1765510,tt0309372",5.613844619146083,nm0409036,"Thriller, Action, Drama,Fantasy,Romance, Comedy, Drama,Romance,Western, Action,Fantasy,Horror, Adventure,Comedy,Drama, Drama,Romance, Crime,Mystery,Thriller, Comedy,Drama, Family,Romance, Action,Adventure,Comedy, Comedy,Drama,Family, Comedy,Romance, Crime,Drama,Mystery, Drama, Romance, Comedy,Family,Romance, Drama,Horror,Mystery, Drama,Mystery, Action,Horror,Thriller, Action,Adventure,Fantasy, Action,Drama,Thriller, Comedy,Drama,Romance, Family, Drama,Thriller"
Kamal,1957,NA,"director,writer,assistant_director","tt0357945,tt0292300,tt0314366,tt2717168",5.875366461913865,nm0436382,"Comedy,Drama,Mystery, Action, Comedy, Romance,Thriller, Drama,Romance,Thriller, Comedy,Mystery,Thriller, Drama,Romance, Comedy,Drama, Drama,Romance,Sport, Musical,Romance, Comedy,Drama,Family, Comedy,Romance, Drama,Music, Drama, Biography,Drama, Comedy,Musical,Romance, Comedy,Drama,Romance, Comedy,Family"
Georges Lautner,1926,2013,"director,writer,assistant_director","tt0095567,tt0057591,tt0192056,tt0082949",5.502644667171053,nm0491626,"Action,Thriller, Crime,Drama,Thriller, Adventure, Comedy, Action,Comedy, Comedy,Crime, Drama,Romance, Comedy,Drama, Drama,Mystery,Thriller, Comedy,Crime,Drama, Comedy,Thriller, Crime,Drama,Mystery, Crime,Drama, Action,Crime,Drama, Drama, Action,Comedy,Crime, Drama,War, Adventure,Thriller, Comedy,Fantasy, Action,Comedy,Thriller, Adventure,Comedy, Comedy,Crime,Romance, Comedy,Crime,Mystery"
Ram Gopal Varma,1962,NA,"director,producer,writer","tt0195231,tt0296574,tt0187115,tt0114234",6.210397106173202,nm0890060,"Thriller, Crime,Drama,Thriller, Crime, Comedy, Horror, Action,Biography,Crime, Drama,Mystery,Thriller, Horror,Thriller, Action,Adventure,Comedy, Crime,Thriller, Romance, Drama,Horror,Mystery, Action,Drama,Romance, Action,Horror,Thriller, Comedy,Musical,Romance, Comedy,Drama,Musical, Action,Crime,Thriller, Action,Comedy,Drama, Adventure,Drama,Horror, Drama,Musical,Romance, Horror,Mystery,Thriller, Crime,Mystery,Thriller, Drama,Romance, Action,Adventure,Romance, Action,Crime,Drama, Drama, Action,Comedy,Crime, Biography,Drama, Mystery,Thriller, Action,Biography,Drama, Action,Crime,Romance, Action,Crime, Drama,Horror,Romance"
Charles Band,1951,NA,"producer,director,writer","tt0098143,tt0090192,tt0104115,tt0100139",4.51872948417115,nm0023929,"Comedy,Fantasy,Horror, Action,Comedy,Fantasy, Action, Action,Comedy,Horror, Action,Horror,Sci-Fi, Adventure,Comedy,Family, Horror, Comedy, Comedy,Horror,Sci-Fi, Action,Sci-Fi, Comedy,Documentary,Horror, Action,Fantasy,Horror, Adventure,Comedy,Horror, Comedy,Sci-Fi, Documentary, Horror,Sci-Fi, Horror,Sci-Fi,Thriller, Action,Adventure,Romance, Fantasy,Horror,Sci-Fi, Fantasy,Horror, Family, Family,Fantasy,Sci-Fi, Comedy,Horror"
